"Time","Cucumber","Lemon","Lime","Grape","Peach"
"2015-12-27",28,95,27,38,23
"2016-01-03",26,85,26,28,19
"2016-01-10",22,86,24,24,19
"2016-01-17",29,90,23,25,24
"2016-01-24",27,89,22,25,22
"2016-01-31",26,85,23,26,23
"2016-02-07",23,86,21,28,20
"2016-02-14",23,91,24,27,21
"2016-02-21",25,83,26,25,24
"2016-02-28",26,92,27,26,21
"2016-03-06",26,91,26,26,22
"2016-03-13",24,92,27,25,21
"2016-03-20",29,100,27,26,23
"2016-03-27",26,88,26,26,23
"2016-04-03",27,85,25,27,24
"2016-04-10",30,90,25,30,24
"2016-04-17",35,93,27,28,25
"2016-04-24",34,97,31,28,26
"2016-05-01",33,92,32,28,27
"2016-05-08",34,95,30,28,30
"2016-05-15",34,90,29,27,32
"2016-05-22",39,94,31,27,35
"2016-05-29",35,93,31,29,38
"2016-06-05",33,86,28,32,37
"2016-06-12",35,88,29,31,35
"2016-06-19",35,91,31,32,36
"2016-06-26",34,94,30,30,37
"2016-07-03",35,93,30,28,42
"2016-07-10",32,89,31,26,34
"2016-07-17",28,91,28,29,36
"2016-07-24",30,95,32,31,38
"2016-07-31",31,89,30,33,33
"2016-08-07",28,83,30,36,31
"2016-08-14",29,81,30,37,33
"2016-08-21",28,85,26,38,33
"2016-08-28",23,83,27,37,30
"2016-09-04",25,85,28,40,29
"2016-09-11",24,80,26,38,26
"2016-09-18",22,86,25,35,27
"2016-09-25",23,79,23,34,22
"2016-10-02",18,70,19,27,17
"2016-10-09",22,74,25,29,21
"2016-10-16",22,81,23,30,19
"2016-10-23",20,78,23,32,20
"2016-10-30",21,74,26,28,21
"2016-11-06",20,72,30,26,22
"2016-11-13",20,76,36,30,24
"2016-11-20",20,93,46,30,36
"2016-11-27",21,73,30,28,22
"2016-12-04",18,80,29,24,25
"2016-12-11",19,85,30,31,23
"2016-12-18",21,93,41,34,28
"2016-12-25",22,84,37,37,29
"2017-01-01",25,94,34,35,27
