"Time","Cucumber","Onion","Garlic","Spinach","Banana","Broccoli","Cauliflower"
"2017-06-25",30,42,43,23,88,0,21
"2017-07-02",36,46,43,23,100,0,20
"2017-07-09",35,44,40,23,89,0,22
"2017-07-16",37,42,42,22,87,0,23
"2017-07-23",36,44,45,22,85,0,23
"2017-07-30",37,41,42,21,87,0,22
"2017-08-06",35,42,42,23,88,0,23
"2017-08-13",32,40,39,21,83,0,22
"2017-08-20",29,40,39,21,83,0,21
"2017-08-27",25,40,38,21,83,0,22
"2017-09-03",23,39,38,21,79,0,22
"2017-09-10",19,39,37,21,77,0,21
"2017-09-17",18,40,39,21,78,0,22
"2017-09-24",17,41,38,22,81,0,21
"2017-10-01",15,41,38,21,77,0,22
"2017-10-08",17,41,40,22,80,0,22
"2017-10-15",15,41,40,23,76,0,23
"2017-10-22",15,42,41,24,79,0,23
"2017-10-29",14,42,40,23,73,0,21
"2017-11-05",14,44,43,25,78,0,24
"2017-11-12",14,45,41,25,74,0,21
"2017-11-19",12,60,49,28,76,0,20
"2017-11-26",12,40,35,20,59,0,16
"2017-12-03",13,42,39,24,69,0,21
"2017-12-10",12,42,38,27,72,0,21
"2017-12-17",13,49,46,40,84,0,22
"2017-12-24",14,56,56,40,81,0,23
"2017-12-31",15,57,52,35,86,0,29
"2018-01-07",16,52,49,30,82,0,33
"2018-01-14",17,52,50,31,88,0,32
"2018-01-21",17,49,48,30,85,0,34
"2018-01-28",18,51,49,33,87,0,35
"2018-02-04",17,47,48,32,80,0,33
"2018-02-11",17,51,47,27,76,0,30
"2018-02-18",17,47,45,26,79,0,30
"2018-02-25",17,39,42,26,82,0,29
"2018-03-04",16,38,39,25,77,0,28
"2018-03-11",18,39,39,26,78,0,26
"2018-03-18",17,37,39,25,75,0,25
"2018-03-25",19,40,40,28,82,0,26
"2018-04-01",18,39,40,26,77,0,26
"2018-04-08",21,40,37,24,76,0,26
"2018-04-15",21,38,37,25,81,0,26
"2018-04-22",22,36,37,25,78,0,26
"2018-04-29",23,38,36,23,79,0,26
"2018-05-06",26,38,35,24,78,0,27
"2018-05-13",25,37,37,23,77,0,24
"2018-05-20",28,37,36,24,80,0,22
"2018-05-27",29,37,38,23,78,0,24
"2018-06-03",28,36,38,23,81,0,25
"2018-06-10",29,36,41,24,79,0,25
"2018-06-17",30,37,41,24,79,0,25
"2018-06-24",34,36,44,24,80,0,25
"2018-07-01",40,41,43,24,79,0,23
