Date,Cucumber,Strawberry,Blueberry,Mango,Watermelon,Tomato,Potato,Bell Pepper,Lime,Cabbage,Pineapple,Guava,Papaya,Banana,Peanut,Avocado,Pumpkin,Lemon,Grape,Peach,Celery,Lettuce,Corn,Carrot,Grapefruit,Citrus Fruit,Rosemary,Sugarcane,Okra,Zucchini,Eggplant,Radish,Blackberry,Cauliflower,Plum,Chayote,Pecan Nut,Coconut,Walnut,Basil,Coriander,Parsley,Mint,Onion,Garlic,Spinach,Broccoli
2015-12-27,3.6452063889495894,7.290412777899179,2.733904791712192,4.100857187568288,1.8226031944747947,15.210199212759663,0.4753187253987395,3.802549803189916,3.203382192076473,4.118634246955465,8.23726849391093,,,,6.862575406346685,0.0,3.4312877031733424,12.299711620107468,5.010993623006747,3.1888141237315657,1.3627568250730862,1.8170091000974484,10.447802325560328,4.0993260668915035,2.2774033704952794,8.198652133783007,1.8196858294799558,1.3647643721099667,0.45492145736998896,2.2756921733376694,2.7308306080052027,0.45513843466753384,0.45692367985344956,2.2846183992672477,0.9138473597068991,0.22618415654893942,0.0,14.023417706034243,1.8069651993821636,1.8069651993821636,1.8069651993821636,0.900870715601103,0.22521767890027575,7.206965724808824,6.773449591384209,5.418759673107368,4.967196367015087
2016-01-03,3.1895555903308908,7.746063576517877,2.733904791712192,3.6452063889495894,1.8226031944747947,13.308924311164706,0.4753187253987395,3.802549803189916,3.203382192076473,4.118634246955465,5.94913835671345,,,,6.862575406346685,0.0,2.5734657773800067,10.933076995651083,3.644358998550361,2.277724374093976,1.8170091000974484,1.8170091000974484,8.630793225462881,4.0993260668915035,2.2774033704952794,7.743171459683951,1.3647643721099667,0.9098429147399779,0.9098429147399779,2.7308306080052027,3.185969042672737,0.9102768693350677,0.45692367985344956,2.7415420791206975,0.9138473597068991,0.45236831309787884,0.0,13.571049392936365,1.8069651993821636,1.8069651993821636,1.8069651993821636,0.900870715601103,0.22521767890027575,6.756530367008272,5.870322979199648,4.967196367015087,5.870322979199648
2016-01-10,2.733904791712192,8.657365173755275,3.1895555903308908,3.1895555903308908,1.8226031944747947,12.358286860367228,0.4753187253987395,3.802549803189916,3.203382192076473,3.661008219515969,5.94913835671345,,,,6.004753480553349,0.0,2.5734657773800067,10.933076995651083,2.733269248912771,2.277724374093976,1.3627568250730862,1.8170091000974484,9.085045500487244,4.554806740990559,2.2774033704952794,7.2876907855848945,1.3647643721099667,0.9098429147399779,0.9098429147399779,2.7308306080052027,3.185969042672737,0.9102768693350677,0.45692367985344956,3.6553894388275965,0.9138473597068991,0.45236831309787884,0.0,13.118681079838487,1.8069651993821636,1.8069651993821636,1.3552238995366226,0.900870715601103,0.22521767890027575,6.756530367008272,6.773449591384209,4.967196367015087,5.870322979199648
2016-01-17,3.6452063889495894,8.657365173755275,3.6452063889495894,3.6452063889495894,1.8226031944747947,13.308924311164706,0.4753187253987395,4.753187253987394,3.203382192076473,3.661008219515969,5.94913835671345,,,,6.004753480553349,0.0,2.5734657773800067,11.844166745288675,3.1888141237315657,3.1888141237315657,1.8170091000974484,2.271261375121811,9.539297775511605,4.554806740990559,2.2774033704952794,7.743171459683951,1.3647643721099667,0.9098429147399779,0.9098429147399779,2.7308306080052027,3.185969042672737,0.9102768693350677,0.9138473597068991,4.5692367985344955,0.9138473597068991,0.45236831309787884,0.0,14.023417706034243,1.8069651993821636,2.2587064992277046,1.8069651993821636,0.900870715601103,0.22521767890027575,7.657401082609375,7.22501289747649,4.967196367015087,6.321886285291929
2016-01-24,3.1895555903308908,10.024317569611371,3.6452063889495894,3.6452063889495894,1.8226031944747947,12.358286860367228,0.0,3.802549803189916,2.745756164636977,3.661008219515969,5.94913835671345,,,,6.862575406346685,0.0,2.5734657773800067,11.388621870469878,3.1888141237315657,2.733269248912771,1.3627568250730862,1.8170091000974484,9.539297775511605,4.0993260668915035,2.2774033704952794,7.743171459683951,1.3647643721099667,0.9098429147399779,0.9098429147399779,2.7308306080052027,3.185969042672737,0.9102768693350677,0.45692367985344956,4.5692367985344955,0.9138473597068991,0.45236831309787884,0.0,13.571049392936365,1.8069651993821636,1.8069651993821636,1.8069651993821636,0.900870715601103,0.0,6.756530367008272,8.128139509661052,4.967196367015087,6.321886285291929
2016-01-31,3.1895555903308908,11.391269965467467,4.100857187568288,3.1895555903308908,2.2782539930934935,12.358286860367228,0.4753187253987395,3.802549803189916,2.745756164636977,3.661008219515969,5.491512329273954,,,,6.004753480553349,0.0,2.5734657773800067,10.933076995651083,3.1888141237315657,3.1888141237315657,1.8170091000974484,1.8170091000974484,9.993550050535966,4.0993260668915035,2.2774033704952794,8.198652133783007,1.3647643721099667,1.3647643721099667,0.9098429147399779,2.2756921733376694,2.7308306080052027,0.9102768693350677,0.45692367985344956,4.112313118681046,0.9138473597068991,0.45236831309787884,0.0,13.571049392936365,1.8069651993821636,1.8069651993821636,1.8069651993821636,0.900870715601103,0.22521767890027575,6.756530367008272,6.773449591384209,5.418759673107368,5.870322979199648
2016-02-07,2.733904791712192,13.66952395856096,3.6452063889495894,3.1895555903308908,1.8226031944747947,13.308924311164706,0.4753187253987395,2.851912352392437,2.745756164636977,3.203382192076473,5.94913835671345,,,,6.862575406346685,0.0,2.5734657773800067,10.933076995651083,3.644358998550361,2.733269248912771,1.3627568250730862,1.8170091000974484,9.085045500487244,4.0993260668915035,1.8219226963962236,7.2876907855848945,1.3647643721099667,0.9098429147399779,0.9098429147399779,2.2756921733376694,2.7308306080052027,0.9102768693350677,0.9138473597068991,3.6553894388275965,0.9138473597068991,0.45236831309787884,0.0,14.023417706034243,1.8069651993821636,1.8069651993821636,1.3552238995366226,0.900870715601103,0.0,7.206965724808824,6.773449591384209,5.418759673107368,5.870322979199648
2016-02-14,3.1895555903308908,14.125174757179659,4.100857187568288,3.6452063889495894,2.2782539930934935,12.358286860367228,0.4753187253987395,2.851912352392437,3.203382192076473,3.203382192076473,6.406764384152946,,,,6.004753480553349,0.0,1.7156438515866712,11.388621870469878,3.644358998550361,2.733269248912771,1.3627568250730862,1.8170091000974484,8.630793225462881,4.0993260668915035,2.2774033704952794,8.198652133783007,1.3647643721099667,0.9098429147399779,0.9098429147399779,2.2756921733376694,3.185969042672737,0.9102768693350677,0.45692367985344956,3.6553894388275965,0.9138473597068991,0.45236831309787884,0.0,14.023417706034243,1.3552238995366226,1.8069651993821636,1.3552238995366226,0.900870715601103,0.0,6.756530367008272,6.773449591384209,4.515633060922807,5.418759673107368
2016-02-21,3.1895555903308908,16.859079548891852,4.100857187568288,3.6452063889495894,2.2782539930934935,12.358286860367228,0.4753187253987395,3.802549803189916,3.203382192076473,3.661008219515969,6.406764384152946,,,,6.862575406346685,0.0,1.7156438515866712,10.477532120832288,3.1888141237315657,3.1888141237315657,1.3627568250730862,1.8170091000974484,9.085045500487244,4.0993260668915035,2.732884044594335,8.198652133783007,1.3647643721099667,0.9098429147399779,0.9098429147399779,2.7308306080052027,3.185969042672737,0.45513843466753384,0.45692367985344956,3.1984657589741468,1.3707710395603487,0.45236831309787884,0.0,14.023417706034243,1.3552238995366226,1.8069651993821636,1.8069651993821636,0.900870715601103,0.22521767890027575,6.756530367008272,6.321886285291929,4.515633060922807,5.418759673107368
2016-02-28,3.1895555903308908,39.64161947982679,3.6452063889495894,3.6452063889495894,2.733904791712192,12.358286860367228,0.4753187253987395,3.802549803189916,3.661008219515969,4.118634246955465,6.406764384152946,,,,6.004753480553349,0.0,1.7156438515866712,11.844166745288675,3.644358998550361,2.733269248912771,1.3627568250730862,1.8170091000974484,9.085045500487244,4.0993260668915035,2.732884044594335,7.743171459683951,1.3647643721099667,0.9098429147399779,0.45492145736998896,2.2756921733376694,3.185969042672737,0.9102768693350677,0.9138473597068991,3.1984657589741468,0.9138473597068991,0.22618415654893942,0.0,14.023417706034243,1.3552238995366226,1.8069651993821636,1.8069651993821636,0.900870715601103,0.22521767890027575,6.756530367008272,6.321886285291929,4.515633060922807,5.418759673107368
