"Time","Cucumber","Peach","Coconut","Pecan","Chestnut"
"2020-06-28",41,64,100,13,3
"2020-07-05",33,61,90,12,3
"2020-07-12",35,56,92,12,3
"2020-07-19",34,49,96,12,3
"2020-07-26",34,47,96,12,4
"2020-08-02",33,58,90,11,4
"2020-08-09",34,58,94,11,3
"2020-08-16",30,47,84,12,4
"2020-08-23",26,46,83,11,3
"2020-08-30",29,36,79,10,3
"2020-09-06",29,37,85,10,3
"2020-09-13",23,32,78,12,3
"2020-09-20",24,33,76,13,4
"2020-09-27",26,30,73,11,4
"2020-10-04",24,23,79,13,4
"2020-10-11",23,25,75,14,4
"2020-10-18",25,25,73,15,4
"2020-10-25",25,23,77,18,5
"2020-11-01",17,17,59,14,5
"2020-11-08",21,21,73,19,6
"2020-11-15",23,20,74,25,7
"2020-11-22",20,26,89,55,13
"2020-11-29",18,20,74,22,10
"2020-12-06",19,20,86,24,9
"2020-12-13",20,22,80,31,10
"2020-12-20",19,26,99,43,13
"2020-12-27",24,25,83,18,8
"2021-01-03",22,19,74,15,5
"2021-01-10",22,22,75,15,4
"2021-01-17",22,23,79,14,4
"2021-01-24",24,23,82,14,4
"2021-01-31",23,22,78,15,4
"2021-02-07",23,25,81,14,4
"2021-02-14",24,24,78,14,4
"2021-02-21",24,23,81,12,4
"2021-02-28",25,21,80,12,3
"2021-03-07",25,25,79,11,3
"2021-03-14",27,24,77,12,2
"2021-03-21",27,23,83,12,3
"2021-03-28",29,24,91,12,3
"2021-04-04",29,25,76,12,3
"2021-04-11",27,23,74,10,2
"2021-04-18",27,26,77,11,3
"2021-04-25",31,30,79,11,3
"2021-05-02",31,33,79,10,3
"2021-05-09",31,32,77,11,3
"2021-05-16",33,32,79,11,3
"2021-05-23",33,36,79,11,3
"2021-05-30",35,37,82,12,3
"2021-06-06",32,36,82,11,3
"2021-06-13",33,40,85,11,3
"2021-06-20",32,40,80,11,3
"2021-06-27",32,44,77,10,3
