Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Zucchini: (Florida),Eggplant: (Florida),Radish: (Florida)
2016-06-26,9,18,7,7,1
2016-07-03,10,18,7,6,1
2016-07-10,9,16,7,7,1
2016-07-17,8,15,7,7,1
2016-07-24,9,16,8,8,2
2016-07-31,9,15,8,8,1
2016-08-07,8,12,7,7,1
2016-08-14,8,12,7,6,1
2016-08-21,8,13,7,8,1
2016-08-28,6,13,7,7,1
2016-09-04,7,14,6,7,2
2016-09-11,7,13,7,7,1
2016-09-18,6,13,6,6,1
2016-09-25,6,12,6,6,2
2016-10-02,5,10,5,5,1
2016-10-09,6,11,5,5,1
2016-10-16,6,11,6,6,1
2016-10-23,6,13,5,6,1
2016-10-30,6,11,5,6,1
2016-11-06,5,12,5,5,0
2016-11-13,6,15,5,6,0
2016-11-20,5,17,6,5,0
2016-11-27,6,12,4,5,0
2016-12-04,5,19,5,6,0
2016-12-11,5,19,5,6,0
2016-12-18,6,19,6,7,0
2016-12-25,6,18,5,6,0
2017-01-01,7,18,7,7,0
2017-01-08,7,23,7,8,0
2017-01-15,7,26,8,7,0
2017-01-22,7,27,7,7,0
2017-01-29,7,33,7,8,0
2017-02-05,7,36,7,7,0
2017-02-12,7,44,7,7,0
2017-02-19,7,42,6,7,0
2017-02-26,7,96,7,7,0
2017-03-05,7,100,7,7,0
2017-03-12,8,47,7,7,0
2017-03-19,8,30,7,8,0
2017-03-26,9,27,7,8,0
2017-04-02,8,24,7,8,0
2017-04-09,9,27,8,8,0
2017-04-16,9,22,8,7,0
2017-04-23,8,23,9,7,0
2017-04-30,9,22,9,7,0
2017-05-07,9,26,10,7,0
2017-05-14,9,24,10,6,0
2017-05-21,10,23,10,7,0
2017-05-28,10,24,8,7,0
2017-06-04,9,23,9,8,0
2017-06-11,10,23,8,8,0
2017-06-18,9,22,8,8,0
2017-06-25,9,22,8,8,0
