"Time","Cucumber","Peach","Coconut","Pecan","Chestnut"
"2015-12-27",21,17,83,14,5
"2016-01-03",20,14,80,11,4
"2016-01-10",17,15,78,11,3
"2016-01-17",22,18,82,10,3
"2016-01-24",20,17,80,10,3
"2016-01-31",19,17,80,9,3
"2016-02-07",17,15,84,8,3
"2016-02-14",17,16,84,10,2
"2016-02-21",19,18,83,8,3
"2016-02-28",20,16,82,8,2
"2016-03-06",20,17,84,8,2
"2016-03-13",18,16,83,9,2
"2016-03-20",22,17,90,10,2
"2016-03-27",19,17,84,10,2
"2016-04-03",20,18,83,8,2
"2016-04-10",22,18,89,9,2
"2016-04-17",27,19,86,8,2
"2016-04-24",26,20,81,8,2
"2016-05-01",25,20,80,9,1
"2016-05-08",25,23,84,8,3
"2016-05-15",26,24,86,8,2
"2016-05-22",29,27,84,7,2
"2016-05-29",26,29,84,8,2
"2016-06-05",25,28,87,8,2
"2016-06-12",27,27,84,8,1
"2016-06-19",26,27,89,8,2
"2016-06-26",26,28,86,9,2
"2016-07-03",26,31,90,9,1
"2016-07-10",24,26,84,8,2
"2016-07-17",21,27,84,8,3
"2016-07-24",23,29,84,8,2
"2016-07-31",23,25,84,8,2
"2016-08-07",22,24,79,8,2
"2016-08-14",22,25,79,7,2
"2016-08-21",21,25,77,8,2
"2016-08-28",17,23,73,6,2
"2016-09-04",19,22,77,9,1
"2016-09-11",18,20,76,9,3
"2016-09-18",16,21,72,8,2
"2016-09-25",18,17,69,9,3
"2016-10-02",14,13,65,8,3
"2016-10-09",17,16,71,10,3
"2016-10-16",17,14,71,11,3
"2016-10-23",15,15,73,12,2
"2016-10-30",16,16,64,12,3
"2016-11-06",15,16,63,16,5
"2016-11-13",15,18,74,34,8
"2016-11-20",15,28,87,100,12
"2016-11-27",16,17,67,20,7
"2016-12-04",14,19,72,20,6
"2016-12-11",15,18,75,24,6
"2016-12-18",16,21,91,45,11
"2016-12-25",16,22,79,22,9
"2017-01-01",19,20,83,13,5
