"Time","Cucumber","Peach","Coconut","Pecan","Chestnut"
"2024-12-29",27,20,85,16,6
"2025-01-05",29,19,79,12,3
"2025-01-12",29,19,78,11,3
"2025-01-19",29,22,80,11,3
"2025-01-26",29,22,84,11,2
"2025-02-02",32,22,89,10,2
"2025-02-09",30,23,82,11,2
"2025-02-16",30,23,81,10,2
"2025-02-23",31,23,86,11,2
"2025-03-02",31,28,91,11,2
"2025-03-09",32,26,85,10,3
"2025-03-16",33,26,88,10,2
"2025-03-23",35,27,90,10,2
"2025-03-30",34,25,90,11,2
"2025-04-06",38,28,95,10,2
"2025-04-13",37,28,90,12,3
"2025-04-20",37,27,83,10,2
"2025-04-27",43,32,88,11,2
"2025-05-04",40,33,86,11,2
"2025-05-11",41,34,88,10,2
"2025-05-18",54,38,94,10,2
"2025-05-25",48,42,94,9,2
"2025-06-01",43,42,90,9,2
"2025-06-08",40,45,92,10,2
"2025-06-15",40,44,92,10,2
"2025-06-22",40,45,94,10,2
"2025-06-29",41,54,98,11,2
"2025-07-06",40,51,90,10,3
"2025-07-13",38,49,88,10,2
"2025-07-20",38,47,96,10,2
"2025-07-27",38,43,99,11,2
"2025-08-03",34,43,86,11,2
"2025-08-10",32,42,88,11,2
"2025-08-17",31,39,85,10,2
"2025-08-24",32,35,81,15,2
"2025-08-31",31,35,83,15,2
"2025-09-07",27,32,73,16,2
"2025-09-14",30,31,72,14,2
"2025-09-21",28,31,76,13,4
"2025-09-28",24,26,79,16,4
"2025-10-05",28,24,77,14,3
"2025-10-12",29,24,84,16,4
"2025-10-19",26,23,76,15,3
"2025-10-26",24,23,73,18,9
"2025-11-02",25,23,77,20,6
"2025-11-09",24,24,83,24,6
"2025-11-16",23,24,80,39,7
"2025-11-23",23,31,90,87,11
"2025-11-30",22,20,76,22,7
"2025-12-07",24,19,78,22,9
"2025-12-14",20,22,89,28,8
"2025-12-21",23,27,100,41,13
"2025-12-28",28,25,89,17,7
