"Time","Cucumber","Okra","Zucchini","Eggplant","Radish"
"2020-06-28",97,36,77,74,15
"2020-07-05",78,31,79,75,14
"2020-07-12",83,33,89,76,15
"2020-07-19",80,33,100,63,15
"2020-07-26",80,31,99,62,15
"2020-08-02",77,30,99,60,14
"2020-08-09",79,30,93,58,14
"2020-08-16",69,29,88,60,14
"2020-08-23",60,26,83,57,15
"2020-08-30",67,24,71,57,14
"2020-09-06",68,25,72,56,16
"2020-09-13",55,21,66,59,16
"2020-09-20",55,20,64,54,12
"2020-09-27",60,21,62,55,14
"2020-10-04",56,18,57,54,13
"2020-10-11",54,22,55,51,14
"2020-10-18",59,20,57,47,14
"2020-10-25",59,19,54,51,14
"2020-11-01",40,13,47,44,11
"2020-11-08",50,16,52,55,13
"2020-11-15",54,19,51,64,16
"2020-11-22",48,17,44,56,10
"2020-11-29",41,15,41,50,11
"2020-12-06",45,14,44,54,14
"2020-12-13",47,15,45,48,13
"2020-12-20",43,15,51,51,12
"2020-12-27",57,15,47,44,12
"2021-01-03",51,13,60,52,15
"2021-01-10",52,16,60,54,16
"2021-01-17",52,15,60,56,16
"2021-01-24",55,15,59,56,16
"2021-01-31",54,17,55,54,17
"2021-02-07",55,16,51,51,18
"2021-02-14",55,20,53,53,16
"2021-02-21",57,20,60,61,18
"2021-02-28",59,16,62,55,18
"2021-03-07",59,16,51,51,18
"2021-03-14",62,19,50,43,15
"2021-03-21",62,16,54,52,15
"2021-03-28",69,19,52,51,17
"2021-04-04",68,17,48,50,18
"2021-04-11",64,22,56,55,19
"2021-04-18",62,20,57,55,18
"2021-04-25",72,22,56,51,15
"2021-05-02",73,17,55,47,11
"2021-05-09",72,20,54,50,12
"2021-05-16",78,23,58,52,14
"2021-05-23",77,21,63,48,13
"2021-05-30",82,27,58,49,12
"2021-06-06",75,26,59,52,13
"2021-06-13",77,24,56,51,14
"2021-06-20",74,26,53,49,13
"2021-06-27",74,22,52,53,14
