"Time","Cucumber","Okra","Zucchini","Eggplant","Radish"
"2017-12-31",55,13,66,55,0
"2018-01-07",61,23,93,71,0
"2018-01-14",62,17,84,69,0
"2018-01-21",65,20,78,62,0
"2018-01-28",67,14,78,62,0
"2018-02-04",60,16,59,54,0
"2018-02-11",64,19,66,58,0
"2018-02-18",65,18,67,67,0
"2018-02-25",61,22,73,61,0
"2018-03-04",61,25,67,62,0
"2018-03-11",62,20,63,63,0
"2018-03-18",63,18,61,61,0
"2018-03-25",71,27,71,61,0
"2018-04-01",70,27,66,58,0
"2018-04-08",80,27,70,63,0
"2018-04-15",78,29,79,63,0
"2018-04-22",78,24,82,68,0
"2018-04-29",80,27,74,64,0
"2018-05-06",85,29,79,63,0
"2018-05-13",81,25,77,61,0
"2018-05-20",81,25,82,71,0
"2018-05-27",86,22,83,68,0
"2018-06-03",82,26,81,65,0
"2018-06-10",83,28,83,64,0
"2018-06-17",86,27,74,64,0
"2018-06-24",89,30,84,68,0
"2018-07-01",88,28,82,64,0
"2018-07-08",81,26,83,64,0
"2018-07-15",79,34,86,66,0
"2018-07-22",82,30,87,68,0
"2018-07-29",73,31,80,68,0
"2018-08-05",72,31,90,63,0
"2018-08-12",71,33,83,61,0
"2018-08-19",75,25,80,63,0
"2018-08-26",66,25,67,56,0
"2018-09-02",71,25,75,60,0
"2018-09-09",61,26,67,53,0
"2018-09-16",66,24,76,56,0
"2018-09-23",63,23,73,55,0
"2018-09-30",65,26,72,61,0
"2018-10-07",63,24,68,54,0
"2018-10-14",64,18,64,53,0
"2018-10-21",61,23,64,60,0
"2018-10-28",53,19,61,58,0
"2018-11-04",55,21,67,50,0
"2018-11-11",59,22,66,55,0
"2018-11-18",61,25,100,44,0
"2018-11-25",51,18,60,48,0
"2018-12-02",51,19,58,53,0
"2018-12-09",50,19,54,50,2
"2018-12-16",44,18,59,57,10
"2018-12-23",58,17,61,51,16
"2018-12-30",60,22,68,61,17
