"Time","Cucumber","Coriander","Parsley","Mint","Rosemary","Basil"
"2016-06-26",95,37,18,3,33,50
"2016-07-03",97,41,20,3,35,49
"2016-07-10",90,40,22,0,30,45
"2016-07-17",78,41,21,3,34,48
"2016-07-24",84,41,24,3,27,52
"2016-07-31",86,37,19,3,25,46
"2016-08-07",79,39,19,5,28,48
"2016-08-14",80,37,17,3,30,42
"2016-08-21",77,36,18,5,25,47
"2016-08-28",63,33,19,3,27,43
"2016-09-04",68,37,20,4,29,41
"2016-09-11",65,35,21,3,25,49
"2016-09-18",60,38,18,0,28,41
"2016-09-25",65,36,15,5,25,42
"2016-10-02",50,28,15,0,30,32
"2016-10-09",62,34,18,0,30,37
"2016-10-16",62,34,21,4,31,43
"2016-10-23",57,34,19,3,33,48
"2016-10-30",58,29,21,3,29,37
"2016-11-06",55,29,19,0,26,40
"2016-11-13",56,34,21,0,34,38
"2016-11-20",55,30,26,0,56,35
"2016-11-27",58,28,19,0,30,37
"2016-12-04",51,29,16,0,30,35
"2016-12-11",53,28,16,0,32,32
"2016-12-18",59,31,24,0,48,40
"2016-12-25",60,34,21,0,36,41
"2017-01-01",69,41,20,0,31,42
"2017-01-08",70,39,24,0,28,45
"2017-01-15",71,40,24,0,33,45
"2017-01-22",67,42,22,0,36,46
"2017-01-29",65,39,27,0,34,46
"2017-02-05",67,44,24,0,33,42
"2017-02-12",74,40,20,0,39,54
"2017-02-19",69,39,22,0,40,48
"2017-02-26",70,41,23,0,38,44
"2017-03-05",75,42,20,0,37,50
"2017-03-12",76,45,27,0,50,52
"2017-03-19",83,43,23,0,44,56
"2017-03-26",90,44,26,0,45,54
"2017-04-02",83,40,26,0,44,52
"2017-04-09",88,46,25,0,53,52
"2017-04-16",85,38,24,0,44,54
"2017-04-23",81,44,25,0,39,57
"2017-04-30",86,52,24,0,45,55
"2017-05-07",91,46,25,0,48,60
"2017-05-14",90,43,29,0,55,58
"2017-05-21",100,44,25,0,61,59
"2017-05-28",100,40,24,0,61,55
"2017-06-04",94,46,24,0,60,71
"2017-06-11",96,46,26,0,53,61
"2017-06-18",92,49,27,0,69,55
"2017-06-25",88,50,28,0,68,61
