"Time","Cucumber","Coriander","Parsley","Mint","Rosemary","Basil"
"2015-12-27",73,36,17,2,34,42
"2016-01-03",67,40,20,3,29,40
"2016-01-10",58,31,17,3,24,37
"2016-01-17",75,32,18,3,29,42
"2016-01-24",69,33,17,3,28,35
"2016-01-31",67,32,18,4,30,35
"2016-02-07",59,32,15,0,27,36
"2016-02-14",59,29,19,2,27,35
"2016-02-21",66,33,18,3,25,39
"2016-02-28",68,37,19,3,27,38
"2016-03-06",68,36,21,3,25,36
"2016-03-13",63,29,22,3,30,38
"2016-03-20",75,35,22,3,33,43
"2016-03-27",67,34,21,3,37,40
"2016-04-03",70,41,19,4,28,41
"2016-04-10",76,36,22,2,31,49
"2016-04-17",91,37,22,0,32,50
"2016-04-24",88,38,22,3,28,46
"2016-05-01",85,40,24,3,30,46
"2016-05-08",87,37,19,2,29,51
"2016-05-15",88,38,22,0,30,53
"2016-05-22",100,42,24,2,29,55
"2016-05-29",90,40,21,4,29,53
"2016-06-05",85,36,22,3,29,48
"2016-06-12",91,36,16,3,28,51
"2016-06-19",90,36,19,7,28,47
"2016-06-26",89,35,17,3,30,46
"2016-07-03",90,38,19,3,32,46
"2016-07-10",84,37,20,0,28,42
"2016-07-17",73,38,19,3,32,45
"2016-07-24",78,38,23,3,25,49
"2016-07-31",80,34,18,3,23,43
"2016-08-07",74,37,18,5,26,45
"2016-08-14",75,35,16,3,28,40
"2016-08-21",72,33,17,4,23,44
"2016-08-28",59,31,18,3,25,40
"2016-09-04",64,35,19,4,27,39
"2016-09-11",61,32,20,3,23,46
"2016-09-18",56,35,17,0,26,38
"2016-09-25",61,34,14,5,23,39
"2016-10-02",47,27,14,0,28,30
"2016-10-09",58,31,17,0,28,35
"2016-10-16",58,32,20,4,29,40
"2016-10-23",53,32,18,3,31,45
"2016-10-30",54,27,20,2,28,35
"2016-11-06",51,27,18,0,24,37
"2016-11-13",52,31,19,0,31,35
"2016-11-20",52,28,24,0,53,33
"2016-11-27",54,26,18,0,28,34
"2016-12-04",48,27,15,0,28,33
"2016-12-11",50,26,15,0,30,30
"2016-12-18",55,29,22,0,45,38
"2016-12-25",56,32,20,0,33,39
"2017-01-01",64,39,19,0,29,39
