"Time","Cucumber","Coriander","Parsley","Mint","Rosemary","Basil"
"2017-12-31",62,45,20,0,43,51
"2018-01-07",69,47,23,0,40,53
"2018-01-14",70,52,21,0,42,46
"2018-01-21",73,44,27,0,42,55
"2018-01-28",75,46,26,0,35,44
"2018-02-04",68,46,25,0,39,47
"2018-02-11",72,44,26,0,37,49
"2018-02-18",73,44,24,0,35,53
"2018-02-25",68,43,26,0,34,49
"2018-03-04",69,44,23,0,31,49
"2018-03-11",69,44,26,0,33,46
"2018-03-18",71,48,25,0,35,49
"2018-03-25",80,51,28,0,36,55
"2018-04-01",79,42,25,0,34,50
"2018-04-08",90,52,28,0,33,56
"2018-04-15",88,47,24,0,36,54
"2018-04-22",87,49,26,0,33,58
"2018-04-29",90,49,24,0,31,53
"2018-05-06",96,48,27,0,35,59
"2018-05-13",91,47,21,0,33,53
"2018-05-20",92,45,21,0,38,55
"2018-05-27",97,47,22,0,33,53
"2018-06-03",92,46,24,0,37,54
"2018-06-10",94,45,27,0,37,59
"2018-06-17",97,46,28,0,31,50
"2018-06-24",100,51,24,0,33,57
"2018-07-01",99,52,26,0,31,55
"2018-07-08",91,48,26,0,35,56
"2018-07-15",89,47,26,0,36,57
"2018-07-22",92,43,27,0,30,53
"2018-07-29",82,40,22,0,31,51
"2018-08-05",81,46,23,0,35,49
"2018-08-12",80,51,26,0,30,55
"2018-08-19",85,43,24,0,33,54
"2018-08-26",74,46,22,0,31,47
"2018-09-02",80,44,23,0,32,48
"2018-09-09",69,45,19,0,27,41
"2018-09-16",74,46,22,0,30,45
"2018-09-23",71,43,21,0,28,41
"2018-09-30",73,39,23,0,30,41
"2018-10-07",71,44,18,0,28,39
"2018-10-14",72,40,22,0,29,38
"2018-10-21",68,42,22,0,29,36
"2018-10-28",60,43,23,0,32,38
"2018-11-04",62,40,22,0,34,38
"2018-11-11",66,43,24,0,34,40
"2018-11-18",69,46,30,0,54,40
"2018-11-25",57,38,18,0,28,38
"2018-12-02",57,38,19,0,32,34
"2018-12-09",57,39,21,0,36,37
"2018-12-16",49,36,17,0,35,38
"2018-12-23",65,46,28,0,49,37
"2018-12-30",67,47,25,0,37,44
