"Time","Cucumber","Potato","Lime","Bell pepper","Cabbage"
"2017-01-01",6,26,8,2,10
"2017-01-08",6,27,8,2,8
"2017-01-15",6,25,8,3,8
"2017-01-22",6,25,9,3,8
"2017-01-29",6,25,9,2,8
"2017-02-05",6,24,11,3,8
"2017-02-12",6,25,10,3,8
"2017-02-19",6,23,10,3,10
"2017-02-26",6,22,10,3,9
"2017-03-05",6,23,10,3,12
"2017-03-12",6,24,11,3,41
"2017-03-19",7,23,11,2,14
"2017-03-26",8,23,11,3,9
"2017-04-02",7,23,10,2,7
"2017-04-09",8,30,12,2,8
"2017-04-16",7,27,10,2,7
"2017-04-23",7,23,10,2,7
"2017-04-30",7,21,12,2,7
"2017-05-07",8,24,12,3,6
"2017-05-14",8,23,11,3,7
"2017-05-21",9,23,11,3,6
"2017-05-28",8,26,12,3,7
"2017-06-04",8,22,10,4,6
"2017-06-11",8,23,11,4,6
"2017-06-18",8,24,12,6,6
"2017-06-25",8,25,13,7,6
"2017-07-02",8,27,15,8,6
"2017-07-09",7,22,13,8,6
"2017-07-16",7,22,12,7,6
"2017-07-23",7,25,12,8,7
"2017-07-30",7,24,11,7,7
"2017-08-06",7,22,11,8,6
"2017-08-13",7,22,11,8,6
"2017-08-20",7,24,10,7,6
"2017-08-27",6,23,9,8,5
"2017-09-03",4,18,7,6,5
"2017-09-10",4,17,7,5,4
"2017-09-17",5,22,8,6,5
"2017-09-24",5,22,8,3,5
"2017-10-01",5,22,8,4,6
"2017-10-08",6,24,8,6,6
"2017-10-15",6,24,8,4,7
"2017-10-22",6,25,8,4,6
"2017-10-29",5,29,7,3,7
"2017-11-05",6,29,8,4,6
"2017-11-12",5,35,8,3,7
"2017-11-19",5,100,10,2,4
"2017-11-26",5,26,6,2,5
"2017-12-03",5,28,8,2,6
"2017-12-10",4,28,7,2,5
"2017-12-17",5,33,8,3,6
"2017-12-24",5,44,7,2,7
"2017-12-31",5,30,6,3,10
