Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Tomato: (Florida),Potato: (Florida),Bell pepper: (Florida)
2017-12-31,6,20,35,66,3
2018-01-07,7,23,31,59,3
2018-01-14,7,26,33,59,4
2018-01-21,7,28,32,54,4
2018-01-28,7,35,31,57,4
2018-02-04,6,35,34,53,3
2018-02-11,7,43,34,55,3
2018-02-18,7,39,32,42,4
2018-02-25,6,79,30,32,5
2018-03-04,7,100,30,33,5
2018-03-11,7,41,30,36,4
2018-03-18,7,26,31,35,5
2018-03-25,8,24,33,47,5
2018-04-01,8,20,32,45,5
2018-04-08,9,19,32,35,5
2018-04-15,8,19,34,33,5
2018-04-22,9,19,37,32,5
2018-04-29,9,21,43,34,5
2018-05-06,9,22,34,34,5
2018-05-13,9,18,34,34,5
2018-05-20,9,17,35,34,5
2018-05-27,9,19,34,36,5
2018-06-03,9,19,34,33,5
2018-06-10,9,20,35,36,5
2018-06-17,9,21,32,36,5
2018-06-24,10,25,35,35,5
2018-07-01,9,23,39,42,5
2018-07-08,9,18,33,32,5
2018-07-15,9,18,32,33,5
2018-07-22,9,17,33,39,5
2018-07-29,8,17,34,37,4
2018-08-05,8,16,34,34,5
2018-08-12,8,16,31,33,5
2018-08-19,8,15,36,32,5
2018-08-26,7,14,31,33,5
2018-09-02,8,14,31,34,6
2018-09-09,7,13,30,32,6
2018-09-16,7,15,27,32,9
2018-09-23,7,14,26,29,9
2018-09-30,7,13,30,31,9
2018-10-07,7,12,28,29,8
2018-10-14,7,13,29,32,7
2018-10-21,7,13,27,32,3
2018-10-28,6,12,28,31,3
2018-11-04,6,13,28,35,4
2018-11-11,6,17,29,42,4
2018-11-18,7,17,29,87,3
2018-11-25,5,12,27,36,3
2018-12-02,5,18,25,34,4
2018-12-09,6,15,29,34,4
2018-12-16,5,15,31,41,3
2018-12-23,6,18,37,56,3
2018-12-30,7,22,38,39,4
