"Time","Cucumber","Potato","Lime","Bell pepper","Cabbage"
"2020-06-28",10,32,10,11,5
"2020-07-05",8,24,9,10,5
"2020-07-12",9,25,9,10,5
"2020-07-19",9,27,9,10,5
"2020-07-26",8,25,8,9,5
"2020-08-02",8,24,9,10,5
"2020-08-09",8,25,9,9,5
"2020-08-16",7,26,9,9,5
"2020-08-23",6,23,8,9,5
"2020-08-30",7,23,8,9,5
"2020-09-06",7,25,8,10,5
"2020-09-13",6,28,7,9,5
"2020-09-20",6,24,7,9,5
"2020-09-27",6,23,7,9,5
"2020-10-04",6,26,6,9,5
"2020-10-11",6,25,6,8,5
"2020-10-18",6,24,6,8,5
"2020-10-25",6,25,6,9,5
"2020-11-01",4,21,5,7,4
"2020-11-08",5,26,5,8,5
"2020-11-15",6,32,6,8,5
"2020-11-22",5,100,6,7,4
"2020-11-29",4,27,5,7,4
"2020-12-06",5,28,5,7,5
"2020-12-13",5,27,5,7,5
"2020-12-20",5,44,7,7,5
"2020-12-27",6,26,6,7,7
"2021-01-03",5,24,6,8,7
"2021-01-10",6,26,6,9,8
"2021-01-17",6,25,6,9,8
"2021-01-24",6,25,6,9,8
"2021-01-31",6,26,6,9,8
"2021-02-07",6,25,6,9,7
"2021-02-14",6,24,6,10,8
"2021-02-21",6,31,7,10,8
"2021-02-28",6,33,6,10,8
"2021-03-07",6,27,6,11,12
"2021-03-14",7,22,6,10,38
"2021-03-21",7,24,5,10,8
"2021-03-28",7,26,6,10,6
"2021-04-04",7,25,6,9,6
"2021-04-11",6,22,6,10,6
"2021-04-18",7,22,6,9,5
"2021-04-25",8,21,6,8,5
"2021-05-02",8,21,6,8,5
"2021-05-09",7,24,5,8,5
"2021-05-16",8,22,6,9,5
"2021-05-23",8,24,7,8,5
"2021-05-30",9,26,7,9,5
"2021-06-06",8,24,6,9,5
"2021-06-13",8,20,6,8,5
"2021-06-20",8,21,6,8,5
"2021-06-27",8,24,6,8,5
