Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Tomato: (Florida),Potato: (Florida),Bell pepper: (Florida)
2015-12-27,4,8,16,<1,4
2016-01-03,4,8,14,<1,4
2016-01-10,3,9,13,<1,4
2016-01-17,4,9,14,<1,5
2016-01-24,4,10,13,0,4
2016-01-31,3,12,13,<1,4
2016-02-07,3,14,14,<1,3
2016-02-14,3,15,13,<1,3
2016-02-21,3,18,13,<1,4
2016-02-28,4,42,13,<1,4
2016-03-06,4,48,13,<1,4
2016-03-13,3,19,13,<1,4
2016-03-20,4,14,18,<1,4
2016-03-27,3,10,14,<1,4
2016-04-03,4,10,14,<1,4
2016-04-10,4,9,14,<1,4
2016-04-17,5,9,14,<1,4
2016-04-24,5,8,15,<1,4
2016-05-01,4,9,15,<1,4
2016-05-08,5,8,16,<1,4
2016-05-15,5,8,15,<1,4
2016-05-22,5,9,17,<1,4
2016-05-29,5,10,16,<1,4
2016-06-05,4,9,16,<1,4
2016-06-12,5,9,15,<1,4
2016-06-19,5,19,15,<1,4
2016-06-26,5,9,15,<1,4
2016-07-03,5,9,15,<1,4
2016-07-10,4,8,14,0,4
2016-07-17,4,7,14,<1,4
2016-07-24,4,8,14,<1,4
2016-07-31,4,7,17,<1,4
2016-08-07,4,6,14,<1,4
2016-08-14,4,6,13,<1,4
2016-08-21,4,6,12,<1,4
2016-08-28,3,6,12,<1,4
2016-09-04,3,7,12,<1,4
2016-09-11,3,6,12,<1,4
2016-09-18,3,6,11,<1,4
2016-09-25,3,6,11,<1,4
2016-10-02,3,5,10,<1,3
2016-10-09,3,5,10,<1,4
2016-10-16,3,5,12,<1,4
2016-10-23,3,6,11,<1,4
2016-10-30,3,5,12,10,3
2016-11-06,3,6,12,23,1
2016-11-13,3,8,17,40,1
2016-11-20,3,8,17,100,1
2016-11-27,3,6,13,25,1
2016-12-04,2,9,14,24,1
2016-12-11,3,9,15,24,1
2016-12-18,3,9,16,45,1
2016-12-25,3,9,17,37,1
