Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Walnut: (Florida),Basil: (Florida),Coriander: (Florida)
2015-12-27,8,16,4,4,4
2016-01-03,7,17,4,4,4
2016-01-10,6,20,4,4,3
2016-01-17,8,19,4,5,4
2016-01-24,7,22,4,4,4
2016-01-31,7,26,4,4,4
2016-02-07,7,30,4,4,3
2016-02-14,6,32,3,4,3
2016-02-21,7,36,3,4,4
2016-02-28,8,85,3,4,4
2016-03-06,7,100,3,4,4
2016-03-13,7,39,4,4,3
2016-03-20,8,30,3,5,4
2016-03-27,7,20,3,4,4
2016-04-03,8,21,4,4,4
2016-04-10,8,18,3,5,4
2016-04-17,10,18,3,5,4
2016-04-24,10,17,3,5,4
2016-05-01,9,19,3,5,4
2016-05-08,10,17,3,6,4
2016-05-15,10,17,3,6,4
2016-05-22,11,19,3,6,5
2016-05-29,10,20,3,6,5
2016-06-05,9,19,3,5,4
2016-06-12,10,19,3,6,4
2016-06-19,10,36,3,5,4
2016-06-26,10,19,4,5,4
2016-07-03,10,19,4,5,4
2016-07-10,9,16,3,5,4
2016-07-17,8,16,3,5,4
2016-07-24,9,16,3,5,4
2016-07-31,9,15,3,5,4
2016-08-07,8,12,3,5,4
2016-08-14,8,12,3,4,4
2016-08-21,8,13,3,5,4
2016-08-28,6,13,3,4,3
2016-09-04,7,14,3,4,4
2016-09-11,7,13,3,5,4
2016-09-18,6,13,3,4,4
2016-09-25,7,13,3,4,3
2016-10-02,5,10,3,3,3
2016-10-09,6,11,3,4,3
2016-10-16,6,11,3,4,3
2016-10-23,6,13,3,5,3
2016-10-30,6,11,4,4,3
2016-11-06,6,12,4,4,3
2016-11-13,6,16,5,4,3
2016-11-20,6,17,7,4,3
2016-11-27,6,13,3,4,3
2016-12-04,5,18,5,3,3
2016-12-11,6,19,5,3,3
2016-12-18,6,19,6,4,3
2016-12-25,6,18,5,4,3
