Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Walnut: (Florida),Basil: (Florida),Coriander: (Florida)
2018-07-01,17,41,7,10,9
2018-07-08,16,33,6,10,8
2018-07-15,15,33,7,10,8
2018-07-22,16,31,7,9,7
2018-07-29,15,31,6,9,7
2018-08-05,14,30,6,8,8
2018-08-12,14,29,7,10,9
2018-08-19,14,26,7,9,8
2018-08-26,13,26,6,8,8
2018-09-02,14,25,7,8,8
2018-09-09,12,24,6,7,8
2018-09-16,13,27,6,8,8
2018-09-23,12,25,6,7,8
2018-09-30,13,24,5,7,7
2018-10-07,12,22,5,7,8
2018-10-14,12,24,7,7,7
2018-10-21,12,24,7,6,7
2018-10-28,10,22,6,7,8
2018-11-04,11,24,7,7,7
2018-11-11,12,30,8,7,7
2018-11-18,12,30,12,7,8
2018-11-25,10,21,8,6,6
2018-12-02,10,32,8,6,7
2018-12-09,10,27,9,6,7
2018-12-16,9,28,10,6,6
2018-12-23,11,33,10,7,8
2018-12-30,12,40,7,8,8
2019-01-06,14,42,8,7,9
2019-01-13,13,43,8,8,9
2019-01-20,12,49,8,7,8
2019-01-27,13,51,8,7,8
2019-02-03,12,59,8,7,9
2019-02-10,12,70,7,7,8
2019-02-17,13,68,7,8,9
2019-02-24,12,79,7,7,7
2019-03-03,12,100,7,7,8
2019-03-10,14,65,7,7,8
2019-03-17,13,47,6,7,8
2019-03-24,14,44,7,8,9
2019-03-31,14,39,6,8,10
2019-04-07,14,37,7,8,9
2019-04-14,15,37,8,8,9
2019-04-21,15,35,8,8,7
2019-04-28,16,35,6,8,9
2019-05-05,15,37,5,9,10
2019-05-12,16,36,7,9,9
2019-05-19,18,35,7,9,9
2019-05-26,18,38,7,8,9
2019-06-02,17,33,7,10,9
2019-06-09,15,37,7,10,9
2019-06-16,16,46,7,8,10
2019-06-23,16,40,7,8,10
2019-06-30,22,40,8,9,9
