Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Walnut: (Florida),Basil: (Florida),Coriander: (Florida)
2016-06-26,9,18,4,5,4
2016-07-03,10,18,4,5,4
2016-07-10,9,16,3,4,4
2016-07-17,8,15,3,5,4
2016-07-24,9,16,3,5,4
2016-07-31,9,15,3,4,4
2016-08-07,8,12,3,5,4
2016-08-14,8,11,3,4,4
2016-08-21,8,13,3,5,4
2016-08-28,6,13,3,4,3
2016-09-04,7,14,3,4,4
2016-09-11,7,13,3,5,3
2016-09-18,6,13,3,4,4
2016-09-25,6,12,3,4,3
2016-10-02,5,10,3,3,3
2016-10-09,6,11,3,3,3
2016-10-16,6,11,3,4,3
2016-10-23,6,13,3,5,3
2016-10-30,6,11,4,4,3
2016-11-06,6,12,4,4,3
2016-11-13,6,16,5,4,3
2016-11-20,5,17,7,4,3
2016-11-27,6,12,3,4,3
2016-12-04,5,18,5,3,3
2016-12-11,5,18,5,3,3
2016-12-18,6,19,6,4,3
2016-12-25,6,18,5,4,3
2017-01-01,7,18,4,4,4
2017-01-08,7,23,4,5,4
2017-01-15,7,26,4,4,4
2017-01-22,7,27,5,5,4
2017-01-29,7,33,5,5,4
2017-02-05,7,36,4,4,4
2017-02-12,7,44,4,5,4
2017-02-19,7,42,5,5,4
2017-02-26,7,96,4,5,4
2017-03-05,7,100,4,5,4
2017-03-12,8,47,4,6,5
2017-03-19,8,30,5,6,4
2017-03-26,9,27,4,5,4
2017-04-02,8,24,4,5,4
2017-04-09,9,27,5,5,5
2017-04-16,9,22,4,5,4
2017-04-23,8,23,4,6,4
2017-04-30,9,22,4,6,5
2017-05-07,9,26,4,6,5
2017-05-14,9,24,3,6,4
2017-05-21,10,23,4,6,4
2017-05-28,10,24,4,6,4
2017-06-04,9,23,3,7,5
2017-06-11,10,23,3,6,4
2017-06-18,9,22,3,6,5
2017-06-25,9,22,3,6,5
