Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Walnut: (Florida),Basil: (Florida),Coriander: (Florida)
2017-12-31,6,20,4,5,4
2018-01-07,7,23,4,5,4
2018-01-14,7,26,4,4,5
2018-01-21,7,28,5,5,4
2018-01-28,7,35,4,4,4
2018-02-04,6,35,4,5,4
2018-02-11,7,43,4,5,4
2018-02-18,7,39,4,5,4
2018-02-25,6,79,4,5,4
2018-03-04,7,100,4,5,4
2018-03-11,7,41,4,5,4
2018-03-18,7,26,4,5,5
2018-03-25,8,24,4,5,5
2018-04-01,8,20,4,5,4
2018-04-08,9,19,4,5,5
2018-04-15,8,19,3,5,5
2018-04-22,8,19,4,6,5
2018-04-29,9,21,3,5,5
2018-05-06,9,22,4,6,5
2018-05-13,9,18,4,5,5
2018-05-20,9,17,4,5,4
2018-05-27,10,19,4,5,5
2018-06-03,9,19,4,5,4
2018-06-10,9,20,4,6,4
2018-06-17,9,21,4,5,4
2018-06-24,9,25,3,5,5
2018-07-01,9,23,4,5,5
2018-07-08,9,18,4,6,5
2018-07-15,9,18,4,6,5
2018-07-22,9,17,4,5,4
2018-07-29,8,17,3,5,4
2018-08-05,8,16,3,5,4
2018-08-12,8,16,4,5,5
2018-08-19,8,15,4,5,4
2018-08-26,7,14,3,5,4
2018-09-02,8,14,4,5,4
2018-09-09,7,13,3,4,4
2018-09-16,7,15,3,4,4
2018-09-23,7,14,3,4,4
2018-09-30,7,13,3,4,4
2018-10-07,7,12,3,4,4
2018-10-14,7,13,4,4,4
2018-10-21,7,13,4,3,4
2018-10-28,6,12,3,4,4
2018-11-04,6,13,4,4,4
2018-11-11,6,17,5,4,4
2018-11-18,7,17,6,4,4
2018-11-25,5,12,5,4,4
2018-12-02,5,18,4,3,4
2018-12-09,6,15,5,4,4
2018-12-16,5,15,5,4,3
2018-12-23,6,18,6,4,4
2018-12-30,7,22,4,4,5
