Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Parsley: (Florida),Mint: (Florida),Onion: (Florida)
2020-06-28,15,33,4,0,21
2020-07-05,12,28,3,0,20
2020-07-12,12,28,3,0,21
2020-07-19,12,27,3,0,20
2020-07-26,12,26,3,0,21
2020-08-02,11,25,3,0,34
2020-08-09,12,25,3,0,31
2020-08-16,10,27,3,0,22
2020-08-23,9,23,3,0,20
2020-08-30,10,22,3,0,19
2020-09-06,10,23,3,0,20
2020-09-13,8,21,3,0,19
2020-09-20,8,20,2,0,19
2020-09-27,9,20,3,0,19
2020-10-04,8,19,3,0,18
2020-10-11,8,20,3,0,19
2020-10-18,9,19,3,0,19
2020-10-25,9,20,2,0,19
2020-11-01,6,15,2,0,15
2020-11-08,7,18,2,0,20
2020-11-15,8,18,2,0,21
2020-11-22,7,21,3,0,27
2020-11-29,6,17,2,0,19
2020-12-06,7,18,2,0,20
2020-12-13,7,20,2,0,19
2020-12-20,7,25,3,0,23
2020-12-27,8,24,3,0,21
2021-01-03,8,26,3,0,23
2021-01-10,8,28,2,0,25
2021-01-17,8,33,2,0,25
2021-01-24,8,33,3,0,25
2021-01-31,8,39,3,0,25
2021-02-07,8,43,3,0,26
2021-02-14,8,42,3,0,24
2021-02-21,9,42,3,0,23
2021-02-28,9,74,3,0,22
2021-03-07,9,100,3,0,21
2021-03-14,9,49,3,0,18
2021-03-21,9,33,3,1,18
2021-03-28,10,30,3,1,20
2021-04-04,10,27,3,1,18
2021-04-11,10,26,3,1,17
2021-04-18,9,25,2,1,19
2021-04-25,11,26,2,7,18
2021-05-02,11,27,3,1,19
2021-05-09,11,26,2,1,17
2021-05-16,12,27,3,1,17
2021-05-23,12,26,2,1,18
2021-05-30,12,27,3,1,18
2021-06-06,11,26,2,1,17
2021-06-13,12,28,2,1,18
2021-06-20,11,31,2,1,17
2021-06-27,11,25,2,1,18
