Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Blueberry: (Florida),Mango: (Florida),Watermelon: (Florida)
2023-01-01,8,26,9,9,5
2023-01-08,8,26,10,9,6
2023-01-15,8,31,11,10,6
2023-01-22,8,32,11,10,6
2023-01-29,8,36,12,10,6
2023-02-05,8,42,11,11,7
2023-02-12,8,51,10,10,7
2023-02-19,9,57,12,12,8
2023-02-26,9,100,12,13,8
2023-03-05,9,81,13,14,8
2023-03-12,10,34,13,14,8
2023-03-19,10,27,14,13,8
2023-03-26,10,28,14,13,9
2023-04-02,11,27,17,15,11
2023-04-09,10,24,18,14,10
2023-04-16,12,24,21,17,13
2023-04-23,11,22,22,16,15
2023-04-30,12,23,18,19,16
2023-05-07,12,29,17,18,18
2023-05-14,12,25,16,21,19
2023-05-21,13,28,15,22,21
2023-05-28,13,27,16,26,25
2023-06-04,12,31,14,31,23
2023-06-11,13,28,15,41,20
2023-06-18,11,28,13,43,21
2023-06-25,12,26,15,46,23
2023-07-02,11,27,16,36,30
2023-07-09,11,24,12,31,20
2023-07-16,11,24,14,25,18
2023-07-23,10,23,13,21,17
2023-07-30,10,22,14,18,17
2023-08-06,10,20,13,17,16
2023-08-13,10,19,12,14,15
2023-08-20,10,20,12,14,15
2023-08-27,9,19,11,12,14
2023-09-03,9,21,10,13,16
2023-09-10,10,19,10,12,13
2023-09-17,9,19,10,11,10
2023-09-24,8,17,10,11,10
2023-10-01,8,17,9,10,9
2023-10-08,8,17,9,10,9
2023-10-15,7,18,9,9,9
2023-10-22,8,17,9,10,11
2023-10-29,7,15,9,9,9
2023-11-05,7,16,10,10,9
2023-11-12,7,18,10,9,9
2023-11-19,7,20,12,10,7
2023-11-26,7,17,9,8,7
2023-12-03,6,19,9,9,7
2023-12-10,7,18,10,9,8
2023-12-17,6,18,11,8,7
2023-12-24,7,19,12,9,6
2023-12-31,8,22,11,9,6
