Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Blueberry: (Florida),Mango: (Florida),Watermelon: (Florida)
2015-12-27,8,16,6,9,4
2016-01-03,7,17,6,8,4
2016-01-10,6,19,7,7,4
2016-01-17,8,19,8,8,4
2016-01-24,7,22,8,8,4
2016-01-31,7,25,9,7,5
2016-02-07,6,30,8,7,4
2016-02-14,7,31,9,8,5
2016-02-21,7,37,9,8,5
2016-02-28,7,87,8,8,6
2016-03-06,7,100,9,9,5
2016-03-13,7,40,9,8,5
2016-03-20,8,30,10,9,5
2016-03-27,7,20,9,9,6
2016-04-03,8,21,10,9,7
2016-04-10,8,18,15,9,7
2016-04-17,10,18,16,10,8
2016-04-24,10,17,17,11,9
2016-05-01,9,19,16,11,10
2016-05-08,10,16,18,13,11
2016-05-15,10,17,17,14,15
2016-05-22,11,19,20,14,20
2016-05-29,10,20,17,15,23
2016-06-05,9,19,15,16,16
2016-06-12,10,19,14,16,16
2016-06-19,10,39,14,20,16
2016-06-26,10,19,14,25,17
2016-07-03,10,18,14,30,21
2016-07-10,9,16,10,33,14
2016-07-17,8,16,10,28,12
2016-07-24,9,16,10,23,11
2016-07-31,9,15,9,20,12
2016-08-07,8,12,9,14,9
2016-08-14,8,12,8,14,9
2016-08-21,8,13,7,12,9
2016-08-28,6,14,8,10,8
2016-09-04,7,14,7,10,9
2016-09-11,7,13,6,9,7
2016-09-18,6,13,6,9,6
2016-09-25,6,12,6,7,5
2016-10-02,5,11,5,6,5
2016-10-09,6,11,5,7,5
2016-10-16,6,11,5,7,5
2016-10-23,6,13,6,7,6
2016-10-30,6,11,5,7,5
2016-11-06,6,12,6,7,5
2016-11-13,6,16,6,8,5
2016-11-20,5,17,9,7,5
2016-11-27,6,12,5,7,4
2016-12-04,5,19,6,7,4
2016-12-11,6,19,7,7,4
2016-12-18,6,19,7,8,4
2016-12-25,6,18,11,8,4
