"Time","Strawberry","Blueberry","Watermelon","Cucumber","Tomato"
"2019-12-29",23,10,1,7,37
"2020-01-05",26,11,1,7,33
"2020-01-12",29,11,5,8,33
"2020-01-19",32,12,6,7,34
"2020-01-26",31,11,4,7,32
"2020-02-02",34,11,4,7,30
"2020-02-09",47,11,6,7,33
"2020-02-16",46,11,6,7,39
"2020-02-23",86,12,6,7,36
"2020-03-01",100,10,6,7,29
"2020-03-08",39,10,6,7,29
"2020-03-15",25,11,6,7,30
"2020-03-22",27,14,7,9,39
"2020-03-29",27,17,8,10,41
"2020-04-05",29,24,9,14,47
"2020-04-12",27,28,10,13,44
"2020-04-19",30,31,11,16,44
"2020-04-26",33,33,15,17,44
"2020-05-03",36,28,19,16,42
"2020-05-10",31,22,18,15,45
"2020-05-17",32,20,21,16,41
"2020-05-24",35,20,22,15,40
"2020-05-31",33,17,18,13,38
"2020-06-07",29,16,19,15,37
"2020-06-14",28,17,20,14,39
"2020-06-21",30,15,20,12,37
"2020-06-28",30,17,25,13,39
"2020-07-05",26,13,21,11,35
"2020-07-12",26,15,19,12,34
"2020-07-19",25,16,16,12,36
"2020-07-26",24,16,15,11,35
"2020-08-02",24,15,14,11,32
"2020-08-09",24,13,15,11,36
"2020-08-16",25,13,12,10,30
"2020-08-23",22,12,12,9,31
"2020-08-30",21,12,12,9,33
"2020-09-06",21,12,13,10,32
"2020-09-13",20,11,9,8,30
"2020-09-20",19,10,7,8,29
"2020-09-27",18,10,7,8,29
"2020-10-04",18,10,7,8,28
"2020-10-11",18,10,7,8,28
"2020-10-18",18,10,6,8,30
"2020-10-25",19,9,7,8,26
"2020-11-01",15,7,5,6,22
"2020-11-08",17,9,5,7,27
"2020-11-15",17,10,6,8,26
"2020-11-22",20,11,6,7,26
"2020-11-29",16,8,5,6,27
"2020-12-06",16,10,5,6,26
"2020-12-13",19,10,5,7,26
"2020-12-20",23,11,4,6,31
"2020-12-27",23,11,5,8,31
