group,n_candidate_anchors,anchors,factor_used,factor_min,factor_max,max_min_ratio,loo_possible
g2,2,"cucumber,strawberry",2.086328946814815,2.086327953162033,2.086329940467597,1.0000009525374765,True
g3,2,"cucumber,strawberry",1.0043349618321429,1.0040418250779957,1.0046280985862899,1.00058391343234,True
g4,2,"cucumber,strawberry",0.9970696609529324,0.9968370704716816,0.997302251434183,1.0004666569655976,True
g5,2,"cucumber,strawberry",1.8826301378024906,1.8787785486083224,1.8864817269966587,1.0041000991809506,True
g6,2,"cucumber,strawberry",0.9997675329435949,0.9995888253567605,0.9999462405304294,1.0003575621941765,True
g7,2,"cucumber,strawberry",0.9969307118552713,0.9967641873266428,0.9970972363838998,1.0003341302401225,True
g8,2,"cucumber,strawberry",0.9996266339921744,0.999180925301322,1.000072342683027,1.0008921481176556,True
g9,2,"cucumber,strawberry",0.9983993416648874,0.9983440170698771,0.9984546662598978,1.0001108327271249,True
g10,2,"cucumber,strawberry",0.9988755337361022,0.9986559933305502,0.9990950741416542,1.0004396717328452,True
g11,2,"cucumber,strawberry",1.0027935454927537,1.0025299347101775,1.0030571562753299,1.0005258910950174,True
g12,2,"cucumber,strawberry",0.9927960501094902,0.9925992876519563,0.9929928125670242,1.0003964589940406,True
g13,2,"cucumber,strawberry",0.9914199672534112,0.9909937987740168,0.9918461357328057,1.0008600830397156,True
g14,2,"cucumber,strawberry",0.9885538644199511,0.9885284452662777,0.9885792835736245,1.0000514282695558,True
g15,2,"cucumber,strawberry",0.9910293309288402,0.9908723881570226,0.9911862737006577,1.000316776960774,True
