group,seam,n_crops,n_overlap,factor,median_abs_rel,p90_abs_rel,mean_signed_rel
g1,p02,5,28,1.0261512222853895,0.026151222285389433,0.054756854856343226,0.001999231960703423
g1,p03,5,26,1.0340293355790757,0.0076773414313541025,0.02085333850521495,-0.001663784145277973
g1,p04,5,28,0.976772751055809,0.05537230188077982,0.10206564780575694,0.006058786553465583
g1,p05,5,27,0.9829611048440573,0.006335510262299237,0.023556347519496982,-0.0018381795218918972
g1,p06,5,27,0.5608344767460944,0.023909492317639346,0.059604227873999875,0.0017054761424124102
g1,p07,5,27,0.5606404771129455,0.0003459124593668164,0.024279712623951264,-0.00026637651991376886
g1,p08,5,27,0.9451152631192836,0.02402338615438958,0.03740171541631316,0.015522511637603658
g1,p09,5,27,0.9432792430419586,0.0019426414417066168,0.0019426414417067182,0.005516531438405128
g1,p10,5,27,0.8759699298984056,0.022480758247365566,0.07135672033499736,0.001315714525137158
g1,p11,5,27,0.865955139167252,0.01143280195966903,0.0430455142171665,0.0017993983058440105
g1,p12,5,27,1.1111190935853485,0.026491136391993006,0.08228506250779812,3.9330675273972425e-05
g1,p13,5,27,1.1128193365786971,0.0015302077006545361,0.001530207700654625,0.001261868637859375
g1,p14,5,28,1.076639829266934,0.03251157319299925,0.06746223091039075,0.001929325265586679
g1,p15,5,26,1.0795371722316753,0.0026910976967238665,0.02516143279485191,0.0019045735261176901
g1,p16,5,28,1.1071232816816765,0.02555364480222,0.03590416552967776,0.0018914547080316993
g1,p17,5,27,1.1059527783569116,0.0010572475027233966,0.015412752255938054,-9.725938530080348e-05
g1,p18,5,27,0.7971707087520904,0.01813015364563946,0.04854406431702679,-0.00268858032685802
g1,p19,5,27,0.8053167724525446,0.010218719291889541,0.023341168979418743,5.293278275782956e-05
g10,p02,5,28,1.9701952723535456,0.015888671551238305,0.051831449126413125,0.013831500337616839
g10,p03,5,26,1.9702350448408397,2.0187078840424137e-05,2.0187078840461705e-05,0.0008697954380909253
g10,p04,5,28,1.8346036185912267,0.04755474547041126,0.06884022624852339,-0.002635812641138529
g10,p05,5,27,1.671129673815327,0.019037086798829046,0.05471300334699904,0.0008103402864241412
g10,p06,5,27,0.9119576627397242,0.02321240800726919,0.04500175252654889,0.009543845899986908
g10,p07,5,27,0.9489415942360031,0.014211584009568012,0.040554439101011516,0.0002165619317178135
g10,p08,5,27,0.9487512726305357,0.00020056198044583238,0.00020056198044594248,0.0004369256914814406
g10,p09,5,27,0.9243612426164702,0.02300711761496448,0.02679244569482087,0.005180466296071218
