date,crop,model,horizon,forecast
2026-03-22,Avocado,SeasonalNaive,12,7.624871482601517
2026-03-29,Avocado,SeasonalNaive,13,6.862384334341365
2026-01-04,Chayote,SeasonalNaive,1,0.3775327857474238
2026-01-11,Chayote,SeasonalNaive,2,0.7550655714948477
2026-01-18,Chayote,SeasonalNaive,3,0.7550655714948477
2026-01-25,Chayote,SeasonalNaive,4,0.3775327857474238
2026-02-01,Chayote,SeasonalNaive,5,0.3775327857474238
2026-02-08,Chayote,SeasonalNaive,6,0.7550655714948477
2026-02-15,Chayote,SeasonalNaive,7,0.7550655714948477
2026-02-22,Chayote,SeasonalNaive,8,0.3775327857474238
2026-03-01,Chayote,SeasonalNaive,9,0.3775327857474238
2026-03-08,Chayote,SeasonalNaive,10,0.3775327857474238
2026-03-15,Chayote,SeasonalNaive,11,0.3775327857474238
2026-03-22,Chayote,SeasonalNaive,12,0.7550655714948477
2026-03-29,Chayote,SeasonalNaive,13,0.3775327857474238
2026-01-04,Peanut,SeasonalNaive,1,11.437307223902277
2026-01-11,Peanut,SeasonalNaive,2,12.199794372162428
2026-01-18,Peanut,SeasonalNaive,3,11.437307223902277
2026-01-25,Peanut,SeasonalNaive,4,11.437307223902277
2026-02-01,Peanut,SeasonalNaive,5,11.437307223902277
2026-02-08,Peanut,SeasonalNaive,6,11.437307223902277
2026-02-15,Peanut,SeasonalNaive,7,10.674820075642124
2026-02-22,Peanut,SeasonalNaive,8,11.437307223902277
2026-03-01,Peanut,SeasonalNaive,9,10.674820075642124
2026-03-08,Peanut,SeasonalNaive,10,11.437307223902277
2026-03-15,Peanut,SeasonalNaive,11,11.437307223902277
2026-03-22,Peanut,SeasonalNaive,12,11.437307223902277
2026-03-29,Peanut,SeasonalNaive,13,11.437307223902277
2026-01-04,Bell Pepper,SeasonalNaive,1,4.135416716486528
2026-01-11,Bell Pepper,SeasonalNaive,2,3.75946974226048
2026-01-18,Bell Pepper,SeasonalNaive,3,3.75946974226048
2026-01-25,Bell Pepper,SeasonalNaive,4,3.75946974226048
2026-02-01,Bell Pepper,SeasonalNaive,5,4.135416716486528
2026-02-08,Bell Pepper,SeasonalNaive,6,3.75946974226048
2026-02-15,Bell Pepper,SeasonalNaive,7,4.511363690712577
2026-02-22,Bell Pepper,SeasonalNaive,8,4.511363690712577
2026-03-01,Bell Pepper,SeasonalNaive,9,4.511363690712577
2026-03-08,Bell Pepper,SeasonalNaive,10,4.511363690712577
2026-03-15,Bell Pepper,SeasonalNaive,11,4.511363690712577
2026-03-22,Bell Pepper,SeasonalNaive,12,4.887310664938624
2026-03-29,Bell Pepper,SeasonalNaive,13,4.511363690712577
2026-01-04,Strawberry,SeasonalNaive,1,11.323529632119126
2026-01-11,Strawberry,SeasonalNaive,2,13.58823555854295
2026-01-18,Strawberry,SeasonalNaive,3,15.47549049722947
2026-01-25,Strawberry,SeasonalNaive,4,15.47549049722947
2026-02-01,Strawberry,SeasonalNaive,5,16.98529444817869
2026-02-08,Strawberry,SeasonalNaive,6,21.137255313289035
2026-02-15,Strawberry,SeasonalNaive,7,16.98529444817869
2026-02-22,Strawberry,SeasonalNaive,8,31.328431982196246
2026-03-01,Strawberry,SeasonalNaive,9,37.74509877373042
2026-03-08,Strawberry,SeasonalNaive,10,18.117647411390603
2026-03-15,Strawberry,SeasonalNaive,11,15.47549049722947
2026-03-22,Strawberry,SeasonalNaive,12,13.965686546280253
2026-03-29,Strawberry,SeasonalNaive,13,12.833333583068342
2026-01-04,Cucumber,SeasonalNaive,1,4.906862840584955
2026-01-11,Cucumber,SeasonalNaive,2,4.906862840584955
2026-01-18,Cucumber,SeasonalNaive,3,4.906862840584955
2026-01-25,Cucumber,SeasonalNaive,4,4.906862840584955
2026-02-01,Cucumber,SeasonalNaive,5,5.284313828322259
2026-02-08,Cucumber,SeasonalNaive,6,4.906862840584955
2026-02-15,Cucumber,SeasonalNaive,7,4.906862840584955
2026-02-22,Cucumber,SeasonalNaive,8,5.284313828322259
2026-03-01,Cucumber,SeasonalNaive,9,5.284313828322259
2026-03-08,Cucumber,SeasonalNaive,10,5.284313828322259
2026-03-15,Cucumber,SeasonalNaive,11,5.661764816059563
2026-03-22,Cucumber,SeasonalNaive,12,6.039215803796867
2026-03-29,Cucumber,SeasonalNaive,13,5.661764816059563
2026-01-04,Blueberry,SeasonalNaive,1,7.549019754746083
2026-01-11,Blueberry,SeasonalNaive,2,7.549019754746083
2026-01-18,Blueberry,SeasonalNaive,3,7.171568767008779
2026-01-25,Blueberry,SeasonalNaive,4,6.794117779271475
2026-02-01,Blueberry,SeasonalNaive,5,7.171568767008779
2026-02-08,Blueberry,SeasonalNaive,6,6.794117779271475
2026-02-15,Blueberry,SeasonalNaive,7,7.171568767008779
2026-02-22,Blueberry,SeasonalNaive,8,6.794117779271475
2026-03-01,Blueberry,SeasonalNaive,9,7.926470742483387
2026-03-08,Blueberry,SeasonalNaive,10,7.549019754746083
2026-03-15,Blueberry,SeasonalNaive,11,7.926470742483387
2026-03-22,Blueberry,SeasonalNaive,12,8.681372717957995
2026-03-29,Blueberry,SeasonalNaive,13,8.681372717957995
2026-01-04,Mango,SeasonalNaive,1,5.661764816059563
2026-01-11,Mango,SeasonalNaive,2,6.416666791534171
2026-01-18,Mango,SeasonalNaive,3,6.039215803796867
2026-01-25,Mango,SeasonalNaive,4,6.416666791534171
2026-02-01,Mango,SeasonalNaive,5,6.416666791534171
2026-02-08,Mango,SeasonalNaive,6,6.794117779271475
2026-02-15,Mango,SeasonalNaive,7,7.171568767008779
2026-02-22,Mango,SeasonalNaive,8,7.549019754746083
2026-03-01,Mango,SeasonalNaive,9,7.549019754746083
2026-03-08,Mango,SeasonalNaive,10,7.549019754746083
2026-03-15,Mango,SeasonalNaive,11,8.681372717957995
2026-03-22,Mango,SeasonalNaive,12,8.681372717957995
2026-03-29,Mango,SeasonalNaive,13,8.681372717957995
2026-01-04,Watermelon,SeasonalNaive,1,3.397058889635737
2026-01-11,Watermelon,SeasonalNaive,2,3.0196079018984334
2026-01-18,Watermelon,SeasonalNaive,3,3.0196079018984334
2026-01-25,Watermelon,SeasonalNaive,4,3.397058889635737
2026-02-01,Watermelon,SeasonalNaive,5,3.397058889635737
2026-02-08,Watermelon,SeasonalNaive,6,3.7745098773730414
2026-02-15,Watermelon,SeasonalNaive,7,4.151960865110346
2026-02-22,Watermelon,SeasonalNaive,8,4.529411852847651
2026-03-01,Watermelon,SeasonalNaive,9,4.529411852847651
2026-03-08,Watermelon,SeasonalNaive,10,4.529411852847651
2026-03-15,Watermelon,SeasonalNaive,11,4.906862840584955
2026-03-22,Watermelon,SeasonalNaive,12,4.529411852847651
2026-03-29,Watermelon,SeasonalNaive,13,4.529411852847651
2026-01-04,Tomato,SeasonalNaive,1,16.541666865946112
2026-01-11,Tomato,SeasonalNaive,2,15.413825943267966
2026-01-18,Tomato,SeasonalNaive,3,17.29356081439821
2026-01-25,Tomato,SeasonalNaive,4,16.165719891720062
2026-02-01,Tomato,SeasonalNaive,5,16.541666865946112
2026-02-08,Tomato,SeasonalNaive,6,16.917613840172162
2026-02-15,Tomato,SeasonalNaive,7,16.917613840172162
2026-02-22,Tomato,SeasonalNaive,8,16.541666865946112
2026-03-01,Tomato,SeasonalNaive,9,17.669507788624255
2026-03-08,Tomato,SeasonalNaive,10,16.917613840172162
2026-03-15,Tomato,SeasonalNaive,11,17.29356081439821
2026-03-22,Tomato,SeasonalNaive,12,16.917613840172162
2026-03-29,Tomato,SeasonalNaive,13,16.917613840172162
2026-01-04,Corn,SeasonalNaive,1,13.600554846714468
2026-01-11,Corn,SeasonalNaive,2,14.356141227087493
2026-01-18,Corn,SeasonalNaive,3,13.222761656527954
2026-01-25,Corn,SeasonalNaive,4,12.844968466341442
2026-02-01,Corn,SeasonalNaive,5,13.97834803690098
2026-02-08,Corn,SeasonalNaive,6,13.222761656527954
2026-02-15,Corn,SeasonalNaive,7,13.97834803690098
2026-02-22,Corn,SeasonalNaive,8,13.97834803690098
2026-03-01,Corn,SeasonalNaive,9,14.356141227087493
2026-03-08,Corn,SeasonalNaive,10,14.733934417274009
2026-03-15,Corn,SeasonalNaive,11,16.24510717802006
2026-03-22,Corn,SeasonalNaive,12,15.489520797647032
2026-03-29,Corn,SeasonalNaive,13,15.867313987833546
2026-01-04,Grapefruit,SeasonalNaive,1,2.2723159780962767
