group,seam,crop,n_overlap,factor,median_abs_rel,p90_abs_rel,mean_signed_rel
g1,p02,cucumber,27,1.0152439024390243,0.015243902439024293,0.043658536585366024,-0.0010501355013550864
g1,p02,strawberry,27,1.0152439024390243,0.015243902439024327,0.04820884146341475,0.0024605061711928666
g1,p02,blueberry,27,1.0152439024390243,0.015243902439024293,0.043658536585366024,0.0014118757259000345
g1,p02,mango,27,1.0152439024390243,0.015243902439024293,0.026816202090592402,7.845587113868759e-05
g1,p02,watermelon,27,1.0152439024390243,0.015243902439024341,0.026936872309899662,0.006765104415749966
g1,p03,cucumber,26,1.0152439024390243,0.0,0.0,0.0
g1,p03,strawberry,26,1.0152439024390243,0.0,0.0,0.0
g1,p03,blueberry,26,1.0152439024390243,0.0,0.0,0.0
g1,p03,mango,26,1.0152439024390243,0.0,0.0,0.0
g1,p03,watermelon,26,1.0152439024390243,0.0,0.0,0.0
g1,p04,cucumber,28,1.0166432737725033,0.001378359751895202,0.0013783597518952674,0.0013783597518952037
g1,p04,strawberry,28,1.0166432737725033,0.0013783597518952238,0.0013783597518952878,-0.0003246646694515337
g1,p04,blueberry,28,1.0166432737725033,0.001378359751895202,0.0013783597518952674,0.0013783597518952134
g1,p04,mango,28,1.0166432737725033,0.0013783597518952316,0.0013783597518952674,0.001378359751895227
g1,p04,watermelon,28,1.0166432737725033,0.001378359751895202,0.0013783597518952674,-0.00756251846017529
g1,p05,cucumber,26,1.0171573824322153,0.0005056922845751928,0.0005056922845752864,0.000558732929874703
g1,p05,strawberry,26,1.0171573824322153,0.0005056922845752096,0.0005056922845752799,-0.0012762208229867662
g1,p05,blueberry,26,1.0171573824322153,0.0005056922845752064,0.0005056922845752799,0.0005587329298746903
g1,p05,mango,26,1.0171573824322153,0.0005056922845751729,0.000505692284575276,0.000558732929874675
g1,p05,watermelon,26,1.0171573824322153,0.0005056922845751928,0.0005056922845752657,0.000558732929874686
g1,p06,cucumber,27,0.5624580290890231,0.03681969256335698,0.08940589945990866,-0.006693006899580322
g1,p06,strawberry,27,0.5624580290890231,0.016941328532520842,0.03230162027420028,0.0026388696547445375
g1,p06,blueberry,27,0.5624580290890231,0.026945219300848647,0.05567095970087233,0.0005194590928330395
g1,p06,mango,27,0.5624580290890231,0.018629873395578703,0.05205056679921663,-0.005663420494875774
g1,p06,watermelon,27,0.5624580290890231,0.03230162027420025,0.105941005400914,0.008737303265992747
g1,p07,cucumber,27,0.5628567296927645,0.0007088539644231124,0.0007088539644232001,-0.001220311333719216
g1,p07,strawberry,27,0.5628567296927645,0.0007088539644231124,0.0007088539644232144,0.0009090296110946647
g1,p07,blueberry,27,0.5628567296927645,0.0007088539644231124,0.0007088539644232144,-0.002196259266758907
g1,p07,mango,27,0.5628567296927645,0.0007088539644231124,0.000708853964423225,-0.0004883503839394459
g1,p07,watermelon,27,0.5628567296927645,0.0007088539644231124,0.0007088539644232001,-0.0004883503839394296
g1,p08,cucumber,27,0.9487658966681026,0.016718209341669697,0.07582969711973947,-0.012827746555440698
g1,p08,strawberry,27,0.9487658966681026,0.011874456678328213,0.026629305214323322,0.0019014599784943239
g1,p08,blueberry,27,0.9487658966681026,0.02411130551203302,0.03730826267252416,-0.002397491196391783
g1,p08,mango,27,0.9487658966681026,0.016718209341669697,0.03730826267252416,0.0014500624408287906
g1,p08,watermelon,27,0.9487658966681026,0.05351620427678244,0.6856259268428518,0.08317617774069416
g1,p09,cucumber,27,0.9487734834747468,7.996500159598797e-06,7.996500159666451e-06,-0.0006112013897971815
g1,p09,strawberry,27,0.9487734834747468,7.996500159615514e-06,7.996500159677092e-06,-0.00021100210063505526
g1,p09,blueberry,27,0.9487734834747468,7.996500159598797e-06,7.996500159732532e-06,-0.00030516663926145367
g1,p09,mango,27,0.9487734834747468,7.99650015958851e-06,7.996500159732532e-06,-0.00030516663926145253
g1,p09,watermelon,27,0.9487734834747468,7.996500159615514e-06,7.996500159732532e-06,0.025401752405740583
g1,p10,cucumber,27,0.90351815251836,0.04769877293645015,0.07814103206837615,-0.012956113411435067
g1,p10,strawberry,27,0.90351815251836,0.008019555142135622,0.031135206903941087,0.003783537754346452
g1,p10,blueberry,27,0.90351815251836,0.04769877293645015,0.05186425356789222,-0.007434729621652846
g1,p10,mango,27,0.90351815251836,0.04769877293645015,0.07814103206837615,0.005139392441635808
g1,p10,watermelon,27,0.90351815251836,0.047698772936450154,0.09741379499704317,0.013609061021516378
g1,p11,cucumber,27,0.9038073836029933,0.0003201165176671459,0.0003201165176672241,-0.001447070226834321
g1,p11,strawberry,27,0.9038073836029933,0.00032011651766723884,0.0003201165176673379,8.691701055084806e-05
g1,p11,blueberry,27,0.9038073836029933,0.00032011651766721466,0.0003201165176672651,-0.0014470702268342729
g1,p11,mango,27,0.9038073836029933,0.00032011651766721466,0.0003201165176672877,-0.0014470702268342703
g1,p11,watermelon,27,0.9038073836029933,0.00032011651766717145,0.0003201165176672241,0.005609271065137021
g1,p12,cucumber,27,1.1412820469848848,0.052938102998886856,0.09803628857036842,-0.012860510910036269
g1,p12,strawberry,27,1.1412820469848848,0.017861736443289977,0.038707665720818844,-0.00200930082494071
g1,p12,blueberry,27,1.1412820469848848,0.017861736443289977,0.05229099666790354,-0.001458465669411098
g1,p12,mango,27,1.1412820469848848,0.017861736443289977,0.07372508039985169,0.008807199836878934
g1,p12,watermelon,27,1.1412820469848848,0.05229099666790354,0.10078399174274054,0.0009496074542418637
g1,p13,cucumber,27,1.1416761574723657,0.0003453226032269017,0.00034532260322703143,-0.0032869049048007966
g1,p13,strawberry,27,1.1416761574723657,0.0003453226032269017,0.0003453226032269843,-0.0007163203467196747
g1,p13,blueberry,27,1.1416761574723657,0.00034532260322697956,0.00034532260322703143,0.0007232070058058146
g1,p13,mango,27,1.1416761574723657,0.0003453226032269017,0.00034532260322703143,0.0007232070058057785
g1,p13,watermelon,27,1.1416761574723657,0.0003453226032269017,0.0003453226032269843,0.0022826949710416542
g1,p14,cucumber,27,1.1148795184839515,0.023471313483274643,0.12533305779546466,0.015364075772261723
g1,p14,strawberry,27,1.1148795184839515,0.023471313483274643,0.03205678829904905,0.0011682214562165631
g1,p14,blueberry,27,1.1148795184839515,0.023471313483274643,0.07418155516839794,0.001730720733229481
g1,p14,mango,27,1.1148795184839515,0.023471313483274556,0.04319554876930967,-0.0074707108946107555
g1,p14,watermelon,27,1.1148795184839515,0.023471313483274643,0.05710937533418956,0.0001007497351249522
g1,p15,cucumber,26,1.1148795184839515,0.0,0.0,0.0
g1,p15,strawberry,26,1.1148795184839515,0.0,0.0,0.0
g1,p15,blueberry,26,1.1148795184839515,0.0,0.0,0.0
g1,p15,mango,26,1.1148795184839515,0.0,0.0,0.0
g1,p15,watermelon,26,1.1148795184839515,0.0,0.0,0.0
g1,p16,cucumber,28,1.1282313690047174,0.011976047904191656,0.011976047904191815,0.011976047904191659
g1,p16,strawberry,28,1.1282313690047174,0.011976047904191656,0.033280023803324954,0.004974298123036643
g1,p16,blueberry,28,1.1282313690047174,0.011976047904191815,0.07465523498457628,-0.015165405891988337
g1,p16,mango,28,1.1282313690047174,0.011976047904191744,0.023018736720108072,-5.5121507469186826e-05
g1,p16,watermelon,28,1.1282313690047174,0.01197604790419173,0.014910179640718703,0.005184145167222547
g1,p17,cucumber,27,1.1279107413764315,0.0002841860606736243,0.00028418606067376426,0.00015924521630099868
g1,p17,strawberry,27,1.1279107413764315,0.0002841860606736325,0.0002841860606736963,0.00015924521630101025
g1,p17,blueberry,27,1.1279107413764315,0.0002841860606735925,0.00028418606067376426,0.0001592452163010177
g1,p17,mango,27,1.1279107413764315,0.0002841860606736243,0.00028418606067369417,0.00015924521630101686
g1,p17,watermelon,27,1.1279107413764315,0.0002841860606736243,0.00028418606067368127,0.00015924521630102779
g1,p18,cucumber,27,0.8283777596386168,0.028209787308881594,0.05572570553265989,-0.003741468032635192
g1,p18,strawberry,27,0.8283777596386168,0.009848898249794269,0.034603780524837695,0.0008786281188290586
g1,p18,blueberry,27,0.8283777596386168,0.020752583515350916,0.05180647852462403,0.0017031717607912473
g1,p18,mango,27,0.8283777596386168,0.020752583515350916,0.053856743454908006,0.005939299095978301
g1,p18,watermelon,27,0.8283777596386168,0.020752583515351003,0.08195554704564155,-0.006253221967557609
g1,p19,cucumber,27,0.8283232355002318,6.582037935062087e-05,6.582037935070726e-05,-0.0008343839931443917
g1,p19,strawberry,27,0.8283232355002318,6.582037935061448e-05,6.582037935069397e-05,0.00046083156512046565
g1,p19,blueberry,27,0.8283232355002318,6.58203793506023e-05,6.582037935071518e-05,-0.00018677621401196203
