MASE,RMSSE,MAE,RMSE,sMAPE,Pearson,Spearman,model,fold,crop,horizon,n
0.44121326191747756,0.4997831681629541,0.674851346056447,0.9145397294484808,17.086661046652715,0.3256681538037213,0.4020137189413074,SeasonalNaive,0,Lime,1,112
0.725320770042047,0.6105087855766891,0.5287435993021483,0.726879622683279,14.417714915978346,0.9685918082152737,0.6242205802351567,SeasonalNaive,0,Cabbage,1,112
0.7914636233987191,0.8116874587814865,1.3074620026787886,1.6721941528603792,14.050504025494126,0.6411650757172297,0.7622371940585276,SeasonalNaive,0,Pineapple,1,112
0.3953139582960812,0.3724657560761798,1.031100080785883,1.2356541715672869,21.590354985625904,0.4556894326959201,0.38162079111403757,SeasonalNaive,0,Carrot,1,112
0.5632599574797744,0.6038313279520405,0.31575345265798405,0.4093673091583647,26.32719295647267,0.3371872513305027,0.19735155450332825,SeasonalNaive,0,Blackberry,1,112
0.0384342737957647,0.07662836894968114,0.4980226237116739,1.1709214736555518,51.56686542405861,-0.003292111361661132,-0.3312128890217948,SeasonalNaive,0,Potato,1,112
0.486518983474845,0.42487195970989516,0.9915862172862301,1.2203432803413998,15.245547425489317,0.29637263271876957,0.2694662511469296,SeasonalNaive,0,Avocado,1,112
0.8704346968676904,0.675633277502061,0.06779117261933942,0.08089449246445977,15.359627323817149,-0.25286806312032284,-0.37846835957184694,SeasonalNaive,0,Chayote,1,112
0.9797282747991928,1.0397226654762544,1.4496179287486997,1.9655889293577569,16.752269106675715,-0.08668267243382444,-0.2109270423359365,SeasonalNaive,0,Peanut,1,112
0.7664925517736221,0.6736991178975156,1.0798223715143285,1.270145522210382,22.892552054501518,0.08023919780667148,0.0409229485622023,SeasonalNaive,0,Bell Pepper,1,112
1.3915250122188565,1.360501603207318,2.679628383272305,4.559466359185037,19.46373874733567,0.7840019845246723,0.7115141735092099,SeasonalNaive,0,Strawberry,1,112
1.8611749933261814,1.3935293147071184,0.7821776221082432,1.0007924713121263,17.889373008756596,0.5624632458074478,0.7464443246249682,SeasonalNaive,0,Cucumber,1,112
1.1981646271421629,1.0400381214387002,0.8626650599015822,1.2154165185264538,14.900315635207724,0.8193118976732205,0.8423026239623751,SeasonalNaive,0,Blueberry,1,112
1.180878909986969,1.1165268324734927,0.8600874992595262,1.2944019776885336,12.755273364677151,0.9001562908686945,0.9260288691898517,SeasonalNaive,0,Mango,1,112
1.8302332912048147,1.6065771791345103,1.02725295559732,1.3477624723795851,30.538934960186168,0.9018740163615344,0.9165003190047273,SeasonalNaive,0,Watermelon,1,112
1.2529630233493259,1.283125187984386,2.2893602296883144,2.9225055418703993,15.899086453070831,-0.014651877643840353,-0.019243023229762915,SeasonalNaive,0,Tomato,1,112
1.1578209195728095,0.8905042476007005,1.3798551010941686,1.899131492895152,9.692771214772247,0.8183428461445308,0.7264461334180273,SeasonalNaive,0,Corn,1,112
0.8791223277449021,0.8688324125429358,0.24166193643710715,0.3262683870485758,14.088050054354598,0.4228830650139407,0.4042576790748851,SeasonalNaive,0,Grapefruit,1,112
1.2775836270804846,1.2731685636652448,1.5427087559080193,2.024182088571932,12.029552901902383,0.04882499219459075,0.21258819232961135,SeasonalNaive,0,Lemon,1,112
1.1100898609469934,1.2005159938363072,1.434767792385569,3.433307051831989,14.994746314525694,0.981001147017452,0.8708137184736826,SeasonalNaive,0,Pumpkin,1,112
1.2050574637268994,1.2608889128740963,1.013824296508959,1.3044308432639395,20.72161955342947,0.7332706321866291,0.8014072480552106,SeasonalNaive,0,Peach,1,112
0.6403648156327332,0.6226193245123299,0.30495952365859635,0.40873978414465834,14.018491242680096,0.24802162814321546,-0.06008945695690497,SeasonalNaive,0,Celery,1,112
0.5453298507915232,0.3997830956504093,0.40305650298514056,0.5155002583473522,16.236000937458332,-0.026158887324224857,-0.09338445185231722,SeasonalNaive,0,Lettuce,1,112
0.8545143021469059,0.6853134921513316,0.5109630368583334,0.6390094462279442,11.021895144465873,0.5645037086757255,0.46921910495351776,SeasonalNaive,0,Grape,1,112
1.6636792876920894,1.4863598159889364,0.593023725865091,0.7733034340210226,17.714461229763668,0.0037355523355521157,0.02339672015319046,SeasonalNaive,0,Eggplant,1,112
1.648214684682062,1.409862120609863,1.17185195476056,1.5937397568681804,34.980858232734235,0.1772262192733611,0.40182275773607085,SeasonalNaive,0,Zucchini,1,112
1.4730778916301612,1.2745815414525536,0.3043808075148835,0.3912077971415938,22.01392749655054,0.49918837199253013,0.5027479452280995,SeasonalNaive,0,Okra,1,112
1.506031149896064,1.1089298226679614,0.15511363765131753,0.19291716822150504,16.824424886035395,0.03909389757350699,-0.1832431076558638,SeasonalNaive,0,Sugarcane,1,112
0.6781593166407838,0.6080917789108305,0.3337372639374549,0.39652471617775104,19.044094280068265,0.48448739061223517,0.2723470600447079,SeasonalNaive,0,Rosemary,1,112
0.22509648306284,0.15071480957257177,1.2182616456833604,1.4118320063623373,16.196763953963746,0.5028224549936186,0.5864462725015201,SeasonalNaive,0,Citrus Fruit,1,112
0.8053391249054125,0.8017854474694329,0.28207964486655607,0.3545627692396846,23.876102288155494,0.587721571964458,0.47263340102485596,SeasonalNaive,0,Plum,1,112
0.9664662483144271,0.9662083484400242,0.5976859364612748,0.7402806080831261,15.276997053697752,0.5336235121165693,0.5078792399595161,SeasonalNaive,0,Cauliflower,1,112
1.2132065165851542,1.0935350831618382,0.30775127544608233,0.3749608346206382,16.204116474954823,0.3370364703215764,-0.03848667086099138,SeasonalNaive,0,Walnut,1,112
0.17593749309713244,0.1756175641252007,1.470682793818126,1.8272626495832263,12.915595820762347,0.23848831180718602,0.2709222727183494,SeasonalNaive,0,Coconut,1,112
1.5145835767038882,1.2876599670586324,0.41172014260821604,0.5310142817416698,17.259778530164336,0.15649319030629602,0.04132212032471046,SeasonalNaive,0,Coriander,1,112
1.2734016863558555,1.085374066749392,0.42715404217747704,0.5175763133427387,17.857306377603358,0.4900598551620996,0.5522353842738834,SeasonalNaive,0,Basil,1,112
1.3201133202472226,1.119519305340026,0.24256254303896713,0.3030524516568784,22.513635137974696,0.11339205722919056,0.06755888489759533,SeasonalNaive,0,Parsley,1,112
1.8224379653457385,1.6573278168864618,1.8779477244204084,2.3806638037071353,22.11858952459127,-0.06378481192892795,-0.13313638332406966,SeasonalNaive,0,Onion,1,112
1.1960880214690326,1.1651898252086035,1.4207716172682103,2.048938214126998,15.507242361996143,-0.12016984171125099,-0.09993691355448445,SeasonalNaive,0,Garlic,1,112
1.4174896541294628,1.2901952288539005,0.7627189947207954,0.9694376744501948,15.912243773128035,0.17851091805839644,0.014926508762596425,SeasonalNaive,0,Spinach,1,112
0.4372121020270694,0.49867072560425046,0.6687314299730224,0.9125041008369705,17.009095875433065,0.2610191266673208,0.3843225861487471,SeasonalNaive,0,Lime,4,112
0.7312421495636923,0.6125904579291475,0.5330601605401882,0.7293580885954047,14.497028891211261,0.9681929940935837,0.6112240820216228,SeasonalNaive,0,Cabbage,4,112
0.779353430401918,0.8052679965885069,1.2874565132029347,1.658969127602845,13.871464426721934,0.6381457770520359,0.7715638249895228,SeasonalNaive,0,Pineapple,4,112
0.3952784449871156,0.3727112519100314,1.0310074511810463,1.2364686033539747,21.442821471057368,0.44762851185808616,0.37237917103232343,SeasonalNaive,0,Carrot,4,112
0.5511006374923353,0.5954091387669039,0.3089371554633712,0.4036574879478032,25.649626178771662,0.3452492195024584,0.2372120276860138,SeasonalNaive,0,Blackberry,4,112
0.03901675800821786,0.07679288497073593,0.5055703223438389,1.1734353643262498,52.4949786123554,-0.003354664457819816,-0.3559838600316468,SeasonalNaive,0,Potato,4,112
0.4865097685206609,0.42470052945993264,0.9915674360631489,1.219850887871603,15.28083575043586,0.28386387881641434,0.2518080820798311,SeasonalNaive,0,Avocado,4,112
0.8699703759757365,0.6721665031504477,0.06775501039160368,0.08047941084991969,15.239885661137327,-0.28488428668328053,-0.447963214601914,SeasonalNaive,0,Chayote,4,112
0.9993997330013925,1.0494094880355516,1.478724058711504,1.9839018043343604,17.126133236030903,-0.10370340883848193,-0.2365217527935142,SeasonalNaive,0,Peanut,4,112
0.7437007361819947,0.6498057212133259,1.0477136285052548,1.225098571720777,22.238583988082034,0.11329174994433115,0.06166635551964573,SeasonalNaive,0,Bell Pepper,4,112
1.3801676098291846,1.3566262097937356,2.6577576892234203,4.546478703855429,19.30760160004112,0.7851813448570536,0.7259088620778771,SeasonalNaive,0,Strawberry,4,112
1.8918630184990086,1.4092541443610833,0.7950745751851713,1.012085589414677,18.265791355139637,0.5411683255672267,0.7333954322240951,SeasonalNaive,0,Cucumber,4,112
1.2180678130960647,1.050034443646579,0.8769951300056447,1.2270984894903274,15.283131312990093,0.818784390960221,0.8274391243378011,SeasonalNaive,0,Blueberry,4,112
1.1929794684924808,1.1174357133750814,0.868900883101536,1.2954556534285904,13.194056646281178,0.8930047015522088,0.920632485404374,SeasonalNaive,0,Mango,4,112
1.84067780678049,1.609902472319181,1.0331151369631895,1.3505520709262127,30.75327990811033,0.8939820676564774,0.9145754780810261,SeasonalNaive,0,Watermelon,4,112
1.2980488241279755,1.312518567806991,2.371739068730489,2.989453269364399,16.465245417698604,-0.045988815272070244,-0.06124971371463682,SeasonalNaive,0,Tomato,4,112
1.2253439339596681,0.9567006534270058,1.4603269376864272,2.0403050800621108,10.179942954018154,0.798331772778654,0.7074768822577856,SeasonalNaive,0,Corn,4,112
0.8887941025387469,0.8743487138397108,0.2443206106075832,0.32833989669829644,14.315697865784665,0.42700477974778794,0.4219728875798875,SeasonalNaive,0,Grapefruit,4,112
1.240316426152063,1.2537953115463139,1.4977078370156565,1.9933809903861315,11.701533478374078,0.058759879228924825,0.22188037125334492,SeasonalNaive,0,Lemon,4,112
1.1317081372541526,1.2038914485558985,1.4627089597302958,3.4429603780279017,14.954639117913436,0.9808409907074463,0.8756730155600981,SeasonalNaive,0,Pumpkin,4,112
1.1698722468628173,1.2169583693240642,0.9842226975740658,1.2589832583237317,20.51640100976902,0.726294336463034,0.7947493854931816,SeasonalNaive,0,Peach,4,112
0.6349588493631655,0.6215408358059611,0.3023850522662966,0.40803177328844387,13.968549714569662,0.23164714445472762,-0.0966056429395187,SeasonalNaive,0,Celery,4,112
0.5555311713608552,0.40438355444772606,0.4105963590713925,0.5214323193182516,16.52787368259957,-0.02900744768918853,-0.1134584399574295,SeasonalNaive,0,Lettuce,4,112
0.854627106520532,0.6861628399947486,0.5110304890533103,0.6398014068434766,10.958447954106054,0.5943886034083471,0.5100579858016966,SeasonalNaive,0,Grape,4,112
1.5890342006110771,1.4374859159509132,0.566416249300474,0.7478759740434011,17.073805419297173,0.02623623811161361,0.024922154626808607,SeasonalNaive,0,Eggplant,4,112
1.6116700292754478,1.398584883713636,1.1458693408011698,1.5809917153920658,34.44843871116787,0.18302475003856122,0.39606953657282995,SeasonalNaive,0,Zucchini,4,112
1.4219298141359193,1.2259551809326592,0.2938121246102052,0.3762828898184251,21.564785454292267,0.5047232214999292,0.4906914252617878,SeasonalNaive,0,Okra,4,112
1.5365392208106357,1.123697365631055,0.15825581559206608,0.19548623301874826,17.11948655373433,0.02009933374903177,-0.21254786223611813,SeasonalNaive,0,Sugarcane,4,112
0.6830387403199029,0.6095389240023121,0.33613853671849875,0.39746837109394734,19.142811982323444,0.4855169886577684,0.25985074204256803,SeasonalNaive,0,Rosemary,4,112
0.21795813628161714,0.1467032357044049,1.1796276609190435,1.3742532946283876,15.58003285072767,0.505455575681787,0.5902767082450343,SeasonalNaive,0,Citrus Fruit,4,112
0.8032080550732139,0.8033381813524963,0.281333212211216,0.3552494138117567,23.762540196791473,0.5998803246349536,0.48521728472694603,SeasonalNaive,0,Plum,4,112
0.9671766638321355,0.9662863715662163,0.5981252744771846,0.7403403871229112,15.318172470243898,0.5326664062888425,0.5012481034353685,SeasonalNaive,0,Cauliflower,4,112
1.227013701391052,1.0989813489550626,0.3112537119037228,0.3768282976758596,16.39476728293607,0.33241485621176964,-0.03844853824283863,SeasonalNaive,0,Walnut,4,112
0.17401533080090684,0.17421221122769537,1.454615206595974,1.8126402576152776,12.867269415421756,0.1999137453653871,0.2439792154501793,SeasonalNaive,0,Coconut,4,112
1.4703270810543327,1.2633579152464718,0.39968958121798304,0.5209924305402527,16.842694153380023,0.1679005704960677,0.027789386327963413,SeasonalNaive,0,Coriander,4,112
1.2114767558014998,1.035375932392368,0.4063817401762524,0.49373398022709164,17.096860704552203,0.5317463535605146,0.5785663119912546,SeasonalNaive,0,Basil,4,112
1.3126297545343375,1.1153836832253186,0.24118748477504726,0.3019329440119362,22.525018719267887,0.11707255141512322,0.06584321561998702,SeasonalNaive,0,Parsley,4,112
1.807157864455143,1.6512443464683602,1.8622022059215309,2.3719252200197474,21.844488027826305,-0.07478765340974627,-0.14456103209495014,SeasonalNaive,0,Onion,4,112
1.1715639764507837,1.1520595541006404,1.3916407619489324,2.025849174338879,15.205840272351411,-0.10468995731729826,-0.0839781158684653,SeasonalNaive,0,Garlic,4,112
1.4064697830279078,1.2855913046360088,0.7567894523188139,0.965978339391963,15.815363661279914,0.1888874325255634,0.024946373116074384,SeasonalNaive,0,Spinach,4,112
0.4336412850070065,0.4967190594158642,0.6632697385858731,0.9089327995575354,17.08996673206993,0.24240623381895832,0.39606538065030744,SeasonalNaive,0,Lime,8,112
0.731214322913351,0.6132280415318747,0.5330398754968451,0.7301172038440766,14.418181550832676,0.9679064630896962,0.6178790917916013,SeasonalNaive,0,Cabbage,8,112
0.7599017361180763,0.7921954656014375,1.25532319663352,1.632037813532181,13.615646400389362,0.6402302822077351,0.781718193074534,SeasonalNaive,0,Pineapple,8,112
0.3881613976767904,0.37010610819249606,1.012444008371529,1.227826045885023,20.899532648427982,0.43776230584391546,0.3578330083412023,SeasonalNaive,0,Carrot,8,112
0.5296336120553445,0.5735602786008798,0.2969031251546039,0.3888450582504605,24.82081203563053,0.385442437579025,0.30545170638882063,SeasonalNaive,0,Blackberry,8,112
0.03968464113573825,0.07692114535120204,0.5142246007950976,1.1753952498851556,53.29902632540101,-0.002338480281292727,-0.27435247143926655,SeasonalNaive,0,Potato,8,112
0.48659174975985864,0.4263229596742789,0.9917345240281116,1.224510931361534,15.376641217725469,0.240478284017087,0.22022092479632752,SeasonalNaive,0,Avocado,8,112
0.8845624942492242,0.6832267630687057,0.06889147337075603,0.08180367083296909,15.496028537696777,-0.29153860673559556,-0.5311400000888031,SeasonalNaive,0,Chayote,8,112
1.006688735031061,1.0527178044347933,1.4895089551942136,1.9901561549463898,17.29836371138741,-0.108695308983797,-0.24792764793539424,SeasonalNaive,0,Peanut,8,112
0.7292642718727149,0.6408550063233497,1.0273757699172532,1.2082235155776657,21.90808063906507,0.1421338041602272,0.10561149700321512,SeasonalNaive,0,Bell Pepper,8,112
1.359928837368706,1.3526030769249888,2.6187843408096447,4.53299592740714,18.898560370560517,0.7867885589291211,0.7372768348022557,SeasonalNaive,0,Strawberry,8,112
1.8713806279005627,1.4028892603501395,0.7864666432976097,1.0075145137066166,18.166803449834315,0.5379589364845531,0.723025658201562,SeasonalNaive,0,Cucumber,8,112
1.1929384400012872,1.0370683960696068,0.8589022639211217,1.2119460175951127,15.134366170918524,0.8329848067783219,0.828312581866639,SeasonalNaive,0,Blueberry,8,112
1.1671702215882276,1.1098031577542573,0.8501028417105726,1.2866071467890088,13.045804099832042,0.8947380425945671,0.9126838431438324,SeasonalNaive,0,Mango,8,112
1.7863496414434017,1.581599256588372,1.0026224294581447,1.3268084173345454,30.36581436716211,0.8944698478609314,0.9160026707438037,SeasonalNaive,0,Watermelon,8,112
1.321442836253401,1.319750110387968,2.4144836030660914,3.0059241667227274,16.782553291566096,-0.050794453147317745,-0.07164651595115806,SeasonalNaive,0,Tomato,8,112
1.2228546706545274,0.9397672531893354,1.457360310800093,2.0041921095066035,10.053103930993377,0.8152133377129629,0.724030505194859,SeasonalNaive,0,Corn,8,112
0.8716789603831038,0.8654235920146981,0.2396158291850264,0.3249882893456932,14.035935558438826,0.44585101806128224,0.4553455669748325,SeasonalNaive,0,Grapefruit,8,112
1.2050936765534326,1.2292520114602459,1.4551756355525427,1.9543601491193288,11.413151014227306,0.09499716260847693,0.2571187450505218,SeasonalNaive,0,Lemon,8,112
1.2416654167100523,1.2651939229378197,1.6048264302628883,3.6182768408412227,14.974362362089469,0.9792610294695814,0.8853038634951119,SeasonalNaive,0,Pumpkin,8,112
1.107628464948283,1.1488766045746808,0.9318565156192268,1.18855044469822,19.942800213208994,0.7364351916798658,0.7877704992983451,SeasonalNaive,0,Peach,8,112
0.6329191498484344,0.6214860930521842,0.3014136906654809,0.4079958355324486,14.035617582260846,0.24794691208438932,-0.0931905934702679,SeasonalNaive,0,Celery,8,112
0.5456824239008222,0.3993310522223913,0.4033170918457621,0.5149173710105367,16.245956719704292,-0.017468277308243924,-0.11181726565807222,SeasonalNaive,0,Lettuce,8,112
0.8507878299388553,0.6838219390145113,0.508734765720671,0.6376186717066561,10.88622197980736,0.6080230297477488,0.5147227005181702,SeasonalNaive,0,Grape,8,112
1.5717447848284583,1.427866852068219,0.5602533825500784,0.7428714959536823,16.9671780070099,0.0672203496122957,0.052964751754959016,SeasonalNaive,0,Eggplant,8,112
1.5185166263103331,1.354618998931387,1.0796388925641884,1.531291693312569,33.20956454652376,0.23439158731172494,0.40130847432293776,SeasonalNaive,0,Zucchini,8,112
1.3838312346428894,1.1960202854912094,0.285939848162946,0.3670949609786841,21.29700133753088,0.5003565708255623,0.482989364816935,SeasonalNaive,0,Okra,8,112
1.5248393286272595,1.094462309956243,0.1570507855122985,0.19040029877990372,16.822432988472432,0.06800016442872012,-0.2348625671705631,SeasonalNaive,0,Sugarcane,8,112
0.7227645296745934,0.6524559293282153,0.35568848010446086,0.4254537080878688,20.15098498848355,0.43944136148647495,0.1821575738929316,SeasonalNaive,0,Rosemary,8,112
0.20889690605827,0.142148266085047,1.1305866937141984,1.3315842834352907,14.76204891532367,0.49033528901513346,0.5681767611391613,SeasonalNaive,0,Citrus Fruit,8,112
0.8054209480187038,0.804351366973213,0.28210830438901724,0.35569746122964,24.01973792312881,0.5590162669400108,0.4394382139468619,SeasonalNaive,0,Plum,8,112
0.9589139442192094,0.9615367986396506,0.5930154102494563,0.7367014031088629,15.314979359272513,0.564816670989438,0.5217729924508897,SeasonalNaive,0,Cauliflower,8,112
1.1996925025306486,1.076656726345474,0.3043232069311054,0.36917343661545476,16.04119575021726,0.33723906003546217,-0.010122650243738686,SeasonalNaive,0,Walnut,8,112
0.18136141636889316,0.18015535332376142,1.5160220247594485,1.8744773615940418,13.679013349290956,0.20515468118420668,0.26216187986429407,SeasonalNaive,0,Coconut,8,112
1.4546139208568016,1.2565087385876148,0.3954181599132358,0.5181679188546617,16.71597766567278,0.185547700760791,0.03917711951593045,SeasonalNaive,0,Coriander,8,112
1.1590055911133812,0.9891937185948275,0.38878064043338106,0.4717113239912336,16.494318991697916,0.5771777612428121,0.594911337829832,SeasonalNaive,0,Basil,8,112
1.3080971567050286,1.1125030542287406,0.24035464835169823,0.30115316140741766,22.59816101706081,0.11769167265944172,0.06426007742119794,SeasonalNaive,0,Parsley,8,112
1.686802241095618,1.5067850710690687,1.7381806626333123,2.1644171069302454,20.533883855575823,-0.01840024939891178,-0.12583185336710034,SeasonalNaive,0,Onion,8,112
1.128948819806459,1.1170713754645263,1.3410204029628667,1.9643239063531222,14.8077456507584,-0.14342000772949468,-0.12054834499360936,SeasonalNaive,0,Garlic,8,112
1.383016345465351,1.2774047724755675,0.7441696901439385,0.9598270744345813,15.582194243785255,0.21826624594455885,0.050179214992365204,SeasonalNaive,0,Spinach,8,112
0.4186951024236,0.48703932176243026,0.6404090217729143,0.8912201088976183,16.691525198317578,0.37633412020745216,0.4798677112799906,SeasonalNaive,0,Lime,13,112
0.7612085781951037,0.6297665039569019,0.5549050572910215,0.7498081102016484,14.870807373179655,0.9662911256275315,0.6099385937019056,SeasonalNaive,0,Cabbage,13,112
0.7380756007523468,0.7825150619380316,1.219267411108632,1.612094774831575,13.103015531296093,0.6326288598026053,0.7901600439243591,SeasonalNaive,0,Pineapple,13,112
0.3805433981083454,0.36597483919546114,0.9925739283867303,1.2141205717930406,20.115009117465586,0.42008658143216976,0.35932636783483274,SeasonalNaive,0,Carrot,13,112
0.5171097162736898,0.5572771197978016,0.28988245329381707,0.377805894505144,24.397281340099976,0.41251473172909275,0.33399014168827973,SeasonalNaive,0,Blackberry,13,112
0.0400965517637443,0.07696631279464745,0.5195620455139542,1.1760854319961058,53.287763433703255,-0.0016049386652932597,-0.14749259561397773,SeasonalNaive,0,Potato,13,112
0.4668672712638159,0.41240466807100135,0.9515335828846795,1.1845339612562593,14.838505308429594,0.2694403493617388,0.2840403179064784,SeasonalNaive,0,Avocado,13,112
0.8799826433768938,0.6735724675124113,0.06853478554319788,0.08064774887776915,15.192469533862225,-0.38013027822548356,-0.6159185598914538,SeasonalNaive,0,Chayote,13,112
1.0111265830068819,1.055019655502544,1.4960752492946159,1.9945077894024188,17.35901510392997,-0.10235033278203293,-0.222787561719368,SeasonalNaive,0,Peanut,13,112
0.6975190516015255,0.6189785277194444,0.9826536144857878,1.1669791223428976,20.939597820694015,0.19597662265482638,0.1900849381886258,SeasonalNaive,0,Bell Pepper,13,112
