"Time","Cucumber","Tomato","Guava","Pineapple","Papaya"
"2019-06-30",28,80,7,50,9
"2019-07-07",20,73,7,44,9
"2019-07-14",23,77,7,47,9
"2019-07-21",20,72,9,47,8
"2019-07-28",19,74,8,49,9
"2019-08-04",28,73,8,42,9
"2019-08-11",17,67,8,38,9
"2019-08-18",17,69,7,38,8
"2019-08-25",16,58,6,32,8
"2019-09-01",14,68,6,30,8
"2019-09-08",15,62,6,33,9
"2019-09-15",16,66,6,33,9
"2019-09-22",15,62,5,34,8
"2019-09-29",16,73,6,36,8
"2019-10-06",15,72,6,30,8
"2019-10-13",14,67,6,34,8
"2019-10-20",15,61,5,34,8
"2019-10-27",14,61,5,33,9
"2019-11-03",15,70,6,31,10
"2019-11-10",14,53,5,30,8
"2019-11-17",13,56,6,39,9
"2019-11-24",13,49,6,49,9
"2019-12-01",12,33,4,29,7
"2019-12-08",12,46,5,29,8
"2019-12-15",12,83,5,33,9
"2019-12-22",13,77,7,49,8
"2019-12-29",15,78,6,41,10
"2020-01-05",15,69,5,34,9
"2020-01-12",16,70,6,33,9
"2020-01-19",15,73,6,35,10
"2020-01-26",14,67,5,29,10
"2020-02-02",16,64,5,31,9
"2020-02-09",15,69,6,32,10
"2020-02-16",16,84,7,34,10
"2020-02-23",15,76,6,34,9
"2020-03-01",14,62,6,37,10
"2020-03-08",15,63,6,35,10
"2020-03-15",14,65,6,33,10
"2020-03-22",19,82,6,42,10
"2020-03-29",22,87,7,43,9
"2020-04-05",29,100,7,56,11
"2020-04-12",29,94,7,57,10
"2020-04-19",34,93,9,54,11
"2020-04-26",36,93,8,64,13
"2020-05-03",34,89,9,67,12
"2020-05-10",31,96,8,66,11
"2020-05-17",33,88,9,55,14
"2020-05-24",32,85,9,57,11
"2020-05-31",28,80,8,51,12
"2020-06-07",31,78,8,53,11
"2020-06-14",30,84,8,51,12
"2020-06-21",26,79,7,51,12
"2020-06-28",29,83,8,56,12
