"Time","Cucumber","Tomato","Guava","Pineapple","Papaya"
"2023-06-25",31,89,9,67,13
"2023-07-02",30,93,9,70,13
"2023-07-09",28,87,8,62,13
"2023-07-16",28,100,9,61,14
"2023-07-23",25,100,10,61,13
"2023-07-30",25,82,10,55,15
"2023-08-06",25,86,9,56,12
"2023-08-13",26,79,9,51,13
"2023-08-20",26,86,10,49,14
"2023-08-27",22,77,8,46,11
"2023-09-03",23,76,9,47,13
"2023-09-10",25,74,9,46,12
"2023-09-17",23,77,9,46,13
"2023-09-24",20,77,7,44,12
"2023-10-01",22,82,8,47,12
"2023-10-08",22,73,8,42,12
"2023-10-15",19,79,8,42,13
"2023-10-22",19,81,7,42,12
"2023-10-29",18,75,7,39,11
"2023-11-05",18,72,7,46,11
"2023-11-12",19,80,8,44,12
"2023-11-19",18,82,9,63,14
"2023-11-26",17,78,7,39,12
"2023-12-03",16,74,7,41,13
"2023-12-10",17,79,7,43,12
"2023-12-17",15,68,8,49,12
"2023-12-24",19,73,8,56,14
"2023-12-31",19,73,7,48,12
"2024-01-07",20,71,7,42,13
"2024-01-14",21,85,7,42,13
"2024-01-21",19,74,8,40,11
"2024-01-28",21,69,7,41,10
"2024-02-04",19,75,9,42,11
"2024-02-11",18,75,7,40,10
"2024-02-18",23,78,8,45,12
"2024-02-25",22,75,9,45,11
"2024-03-03",24,70,9,48,12
"2024-03-10",24,72,9,47,14
"2024-03-17",23,74,9,51,14
"2024-03-24",25,80,9,58,13
"2024-03-31",25,76,8,54,13
"2024-04-07",28,77,9,53,11
"2024-04-14",26,83,9,56,13
"2024-04-21",29,84,10,54,16
"2024-04-28",29,84,9,57,14
"2024-05-05",29,87,9,56,15
"2024-05-12",27,82,10,52,13
"2024-05-19",30,86,9,60,13
"2024-05-26",31,86,9,58,13
"2024-06-02",39,92,8,52,12
"2024-06-09",29,79,9,51,12
"2024-06-16",30,84,7,53,13
"2024-06-23",27,73,8,52,13
"2024-06-30",28,81,8,60,12
