"Time","Cucumber","Tomato","Guava","Pineapple","Papaya"
"2018-07-01",24,90,6,56,12
"2018-07-08",22,83,7,65,13
"2018-07-15",21,79,8,56,13
"2018-07-22",23,82,8,54,13
"2018-07-29",20,88,9,54,12
"2018-08-05",20,85,10,51,13
"2018-08-12",19,77,10,45,12
"2018-08-19",21,86,8,42,12
"2018-08-26",18,75,8,39,12
"2018-09-02",19,78,8,38,11
"2018-09-09",17,76,7,36,11
"2018-09-16",18,68,7,37,11
"2018-09-23",17,66,6,38,11
"2018-09-30",18,76,7,34,12
"2018-10-07",17,72,7,32,10
"2018-10-14",17,72,7,33,12
"2018-10-21",17,68,7,34,10
"2018-10-28",15,70,6,35,11
"2018-11-04",15,71,6,32,12
"2018-11-11",16,72,5,43,11
"2018-11-18",17,72,7,56,12
"2018-11-25",14,69,6,30,11
"2018-12-02",14,65,5,34,12
"2018-12-09",14,72,5,34,12
"2018-12-16",12,78,6,38,11
"2018-12-23",16,93,6,51,11
"2018-12-30",16,98,7,41,12
"2019-01-06",19,88,6,37,10
"2019-01-13",17,79,6,37,11
"2019-01-20",16,83,5,38,10
"2019-01-27",19,85,5,36,11
"2019-02-03",17,72,5,35,11
"2019-02-10",17,75,5,36,10
"2019-02-17",18,81,6,35,12
"2019-02-24",16,75,6,37,11
"2019-03-03",16,82,6,43,11
"2019-03-10",20,77,7,47,13
"2019-03-17",18,82,7,44,12
"2019-03-24",19,89,7,43,13
"2019-03-31",20,79,7,43,13
"2019-04-07",20,86,7,43,13
"2019-04-14",21,86,8,48,13
"2019-04-21",20,93,7,47,12
"2019-04-28",23,82,6,45,12
"2019-05-05",22,82,7,41,9
"2019-05-12",22,86,7,43,10
"2019-05-19",24,91,6,42,9
"2019-05-26",26,100,7,51,11
"2019-06-02",23,88,8,45,10
"2019-06-09",21,89,7,48,10
"2019-06-16",22,87,7,50,10
"2019-06-23",23,89,8,53,11
"2019-06-30",31,89,8,56,10
