Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Lime: (Florida),Cabbage: (Florida),Pineapple: (Florida)
2017-12-31,6,20,7,12,20
2018-01-07,7,23,8,10,17
2018-01-14,7,26,8,9,17
2018-01-21,7,28,8,8,18
2018-01-28,7,35,9,9,17
2018-02-04,6,35,11,9,17
2018-02-11,7,43,8,9,16
2018-02-18,7,39,8,8,17
2018-02-25,6,79,7,8,17
2018-03-04,7,100,7,9,17
2018-03-11,7,41,7,35,18
2018-03-18,7,26,7,17,17
2018-03-25,8,24,7,8,23
2018-04-01,8,20,6,7,21
2018-04-08,9,19,6,7,19
2018-04-15,8,19,5,6,20
2018-04-22,9,19,6,7,20
2018-04-29,9,21,8,7,21
2018-05-06,9,22,8,7,20
2018-05-13,9,18,6,6,19
2018-05-20,9,17,6,7,19
2018-05-27,9,19,7,6,21
2018-06-03,9,19,7,6,21
2018-06-10,9,20,7,7,22
2018-06-17,9,21,7,6,22
2018-06-24,10,25,7,7,22
2018-07-01,9,23,8,6,22
2018-07-08,9,18,7,6,26
2018-07-15,9,18,8,6,22
2018-07-22,9,17,7,6,22
2018-07-29,8,17,8,6,21
2018-08-05,8,16,8,7,20
2018-08-12,8,16,6,7,18
2018-08-19,8,15,6,6,17
2018-08-26,7,14,6,6,15
2018-09-02,8,14,6,6,15
2018-09-09,7,13,6,5,14
2018-09-16,7,15,7,6,15
2018-09-23,7,14,6,6,15
2018-09-30,7,13,6,6,14
2018-10-07,7,12,6,6,13
2018-10-14,7,13,5,7,13
2018-10-21,7,13,5,7,14
2018-10-28,6,12,5,6,14
2018-11-04,6,13,6,6,13
2018-11-11,6,17,5,7,17
2018-11-18,7,17,6,7,22
2018-11-25,5,12,5,7,12
2018-12-02,5,18,5,7,14
2018-12-09,6,15,5,6,13
2018-12-16,5,15,5,6,15
2018-12-23,6,18,6,7,20
2018-12-30,7,22,7,9,16
