"Time","Cucumber","Blackberry","Carambola","Citrus × tangerina","Plum","Chayote"
"2017-12-31",62,0,11,0,36,8
"2018-01-07",69,0,18,0,31,8
"2018-01-14",70,0,24,0,31,9
"2018-01-21",73,0,26,0,32,6
"2018-01-28",75,0,21,0,34,7
"2018-02-04",68,0,14,0,30,7
"2018-02-11",72,10,15,0,26,7
"2018-02-18",73,5,12,0,30,7
"2018-02-25",68,0,13,0,29,6
"2018-03-04",69,0,9,0,30,8
"2018-03-11",69,0,8,0,26,9
"2018-03-18",71,10,7,0,29,9
"2018-03-25",80,12,6,0,30,9
"2018-04-01",79,15,7,0,32,8
"2018-04-08",90,19,5,0,30,7
"2018-04-15",88,17,5,0,32,10
"2018-04-22",87,23,6,0,33,9
"2018-04-29",90,22,5,0,4,7
"2018-05-06",96,20,6,0,4,7
"2018-05-13",91,11,6,0,17,9
"2018-05-20",92,19,3,0,27,9
"2018-05-27",97,23,6,0,37,9
"2018-06-03",92,24,7,0,43,9
"2018-06-10",94,24,7,0,32,9
"2018-06-17",97,20,7,0,24,10
"2018-06-24",100,21,6,0,29,8
"2018-07-01",99,23,6,0,30,8
"2018-07-08",91,15,7,0,28,9
"2018-07-15",89,16,9,0,30,6
"2018-07-22",92,15,13,0,32,8
"2018-07-29",82,16,11,0,41,11
"2018-08-05",81,17,14,0,42,10
"2018-08-12",80,17,15,0,35,10
"2018-08-19",85,16,14,0,33,9
"2018-08-26",74,14,13,0,31,10
"2018-09-02",80,15,16,0,34,9
"2018-09-09",69,15,16,0,33,9
"2018-09-16",74,20,16,0,31,7
"2018-09-23",71,19,15,0,29,8
"2018-09-30",73,14,16,0,28,9
"2018-10-07",71,13,15,0,29,9
"2018-10-14",72,14,17,0,28,9
"2018-10-21",68,15,16,0,24,9
"2018-10-28",60,12,13,0,31,9
"2018-11-04",62,13,17,0,30,9
"2018-11-11",66,15,12,0,28,10
"2018-11-18",69,19,12,0,28,11
"2018-11-25",57,16,13,0,28,9
"2018-12-02",57,21,13,0,26,9
"2018-12-09",57,30,13,0,30,10
"2018-12-16",49,19,14,0,30,8
"2018-12-23",65,22,19,0,31,8
"2018-12-30",67,21,24,0,24,9
