Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Garlic: (Florida),Spinach: (Florida),Broccoli: (Florida)
2017-06-25,9,22,18,9,0
2017-07-02,9,24,18,10,0
2017-07-09,8,21,18,10,0
2017-07-16,8,19,17,10,0
2017-07-23,9,20,17,9,0
2017-07-30,8,20,18,10,0
2017-08-06,9,18,18,10,0
2017-08-13,9,18,16,9,0
2017-08-20,8,17,16,10,0
2017-08-27,7,16,15,9,0
2017-09-03,5,12,12,6,0
2017-09-10,5,11,12,6,0
2017-09-17,6,14,15,8,0
2017-09-24,6,13,15,9,0
2017-10-01,6,14,16,9,0
2017-10-08,7,15,16,10,0
2017-10-15,7,15,17,10,0
2017-10-22,7,15,17,11,0
2017-10-29,6,14,17,9,0
2017-11-05,7,15,17,10,0
2017-11-12,6,20,17,10,0
2017-11-19,6,18,19,10,0
2017-11-26,6,15,15,8,0
2017-12-03,6,21,17,10,0
2017-12-10,5,18,16,10,0
2017-12-17,6,20,19,14,0
2017-12-24,6,20,22,15,0
2017-12-31,6,20,19,12,0
2018-01-07,7,23,20,12,0
2018-01-14,7,26,21,12,0
2018-01-21,7,28,21,12,0
2018-01-28,7,35,21,13,0
2018-02-04,6,35,25,12,0
2018-02-11,7,43,21,11,0
2018-02-18,7,39,17,10,0
2018-02-25,6,79,16,10,0
2018-03-04,7,100,16,9,0
2018-03-11,7,41,15,10,0
2018-03-18,7,26,16,10,0
2018-03-25,8,24,17,12,0
2018-04-01,8,20,15,9,0
2018-04-08,9,19,16,10,0
2018-04-15,8,19,17,9,0
2018-04-22,8,19,16,10,0
2018-04-29,9,21,16,10,0
2018-05-06,9,22,16,10,0
2018-05-13,9,18,16,9,0
2018-05-20,9,17,16,9,0
2018-05-27,10,19,16,9,0
2018-06-03,9,19,16,9,0
2018-06-10,9,20,18,10,0
2018-06-17,9,21,16,9,0
2018-06-24,9,25,18,10,0
