Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Lemon: (Florida),Grape: (Florida),Peach: (Florida)
2017-12-31,6,20,27,12,9
2018-01-07,7,23,27,8,7
2018-01-14,7,26,28,8,7
2018-01-21,7,28,27,8,7
2018-01-28,7,35,28,9,8
2018-02-04,6,35,28,9,7
2018-02-11,7,43,27,8,6
2018-02-18,7,39,26,8,7
2018-02-25,6,79,24,8,7
2018-03-04,7,100,23,8,7
2018-03-11,7,41,24,7,7
2018-03-18,7,26,26,9,7
2018-03-25,8,24,29,8,7
2018-04-01,8,20,25,9,8
2018-04-08,9,19,25,8,7
2018-04-15,8,19,25,8,7
2018-04-22,9,19,26,8,8
2018-04-29,9,21,26,8,9
2018-05-06,9,22,27,8,9
2018-05-13,9,18,25,7,8
2018-05-20,9,17,26,8,8
2018-05-27,9,19,24,8,8
2018-06-03,9,19,25,8,9
2018-06-10,9,20,26,10,11
2018-06-17,9,21,26,9,11
2018-06-24,10,25,25,10,12
2018-07-01,9,23,26,9,13
2018-07-08,9,18,26,9,13
2018-07-15,9,18,25,8,14
2018-07-22,9,17,25,8,13
2018-07-29,8,17,26,9,13
2018-08-05,8,16,25,9,12
2018-08-12,8,16,22,11,12
2018-08-19,8,15,23,11,13
2018-08-26,7,14,23,9,11
2018-09-02,8,14,21,11,9
2018-09-09,7,13,22,11,9
2018-09-16,7,15,22,11,8
2018-09-23,7,14,21,11,8
2018-09-30,7,13,20,11,7
2018-10-07,7,12,18,9,6
2018-10-14,7,13,20,10,5
2018-10-21,7,13,18,9,5
2018-10-28,6,12,18,9,5
2018-11-04,6,13,22,9,6
2018-11-11,6,17,23,9,5
2018-11-18,7,17,27,13,5
2018-11-25,5,12,22,22,4
2018-12-02,5,18,22,10,4
2018-12-09,6,15,23,9,4
2018-12-16,5,15,25,9,4
2018-12-23,6,18,26,10,5
2018-12-30,7,22,27,13,5
