Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Lemon: (Florida),Grape: (Florida),Peach: (Florida)
2015-12-27,8,16,27,11,7
2016-01-03,7,17,24,8,5
2016-01-10,6,19,24,6,5
2016-01-17,8,19,26,7,7
2016-01-24,7,22,25,7,6
2016-01-31,7,25,24,7,7
2016-02-07,6,30,24,8,6
2016-02-14,7,31,25,8,6
2016-02-21,7,37,23,7,7
2016-02-28,7,87,26,8,6
2016-03-06,7,100,26,7,6
2016-03-13,7,40,26,7,6
2016-03-20,8,30,28,7,6
2016-03-27,7,20,25,7,7
2016-04-03,8,21,24,8,7
2016-04-10,8,18,25,8,7
2016-04-17,10,18,26,8,7
2016-04-24,10,17,27,8,7
2016-05-01,9,19,26,8,8
2016-05-08,10,16,27,8,8
2016-05-15,10,17,25,7,9
2016-05-22,11,19,26,7,10
2016-05-29,10,20,26,8,11
2016-06-05,9,19,24,9,10
2016-06-12,10,19,25,9,10
2016-06-19,10,39,26,9,10
2016-06-26,10,19,27,8,10
2016-07-03,10,18,26,8,12
2016-07-10,9,16,25,7,10
2016-07-17,8,16,26,8,10
2016-07-24,9,16,26,9,11
2016-07-31,9,15,25,9,9
2016-08-07,8,12,23,10,9
2016-08-14,8,12,23,10,9
2016-08-21,8,13,24,11,9
2016-08-28,6,14,23,10,8
2016-09-04,7,14,23,11,8
2016-09-11,7,13,23,10,7
2016-09-18,6,13,24,10,7
2016-09-25,6,12,22,10,6
2016-10-02,5,11,20,7,5
2016-10-09,6,11,21,8,6
2016-10-16,6,11,23,8,5
2016-10-23,6,13,21,9,6
2016-10-30,6,11,21,8,6
2016-11-06,6,12,20,7,6
2016-11-13,6,16,21,8,7
2016-11-20,5,17,27,9,10
2016-11-27,6,12,21,8,6
2016-12-04,5,19,23,7,7
2016-12-11,6,19,24,9,7
2016-12-18,6,19,27,10,8
2016-12-25,6,18,24,10,8
