Category: All categories

Week,Cucumber: (Florida),Strawberry: (Florida),Lemon: (Florida),Grape: (Florida),Peach: (Florida)
2023-01-01,8,26,26,16,7
2023-01-08,8,26,25,10,7
2023-01-15,8,32,24,10,7
2023-01-22,8,32,25,10,8
2023-01-29,8,36,24,10,8
2023-02-05,8,42,25,11,8
2023-02-12,8,51,23,9,8
2023-02-19,9,58,25,10,8
2023-02-26,9,100,25,10,7
2023-03-05,9,81,25,11,8
2023-03-12,10,34,27,10,9
2023-03-19,10,27,27,12,9
2023-03-26,10,28,28,12,9
2023-04-02,11,27,31,12,10
2023-04-09,10,24,27,11,10
2023-04-16,12,24,27,11,10
2023-04-23,11,22,28,12,10
2023-04-30,12,22,26,11,9
2023-05-07,12,29,28,10,10
2023-05-14,12,25,28,11,12
2023-05-21,13,28,29,10,11
2023-05-28,13,27,27,10,12
2023-06-04,12,31,30,10,12
2023-06-11,13,28,28,12,14
2023-06-18,11,28,28,11,15
2023-06-25,12,26,27,12,15
2023-07-02,11,27,30,12,15
2023-07-09,11,24,27,10,13
2023-07-16,11,24,27,15,13
2023-07-23,10,22,28,19,13
2023-07-30,10,22,27,13,13
2023-08-06,10,20,27,12,14
2023-08-13,10,19,26,14,13
2023-08-20,10,20,26,15,12
2023-08-27,9,19,26,13,10
2023-09-03,9,21,27,14,10
2023-09-10,10,19,25,14,10
2023-09-17,9,19,25,14,9
2023-09-24,8,17,28,13,9
2023-10-01,8,17,25,12,9
2023-10-08,8,17,26,12,9
2023-10-15,7,18,24,11,8
2023-10-22,8,17,25,12,8
2023-10-29,7,15,24,11,7
2023-11-05,7,16,26,11,7
2023-11-12,7,18,26,11,8
2023-11-19,7,20,31,11,10
2023-11-26,7,17,25,10,6
2023-12-03,6,19,25,10,6
2023-12-10,7,18,26,12,7
2023-12-17,6,18,26,12,7
2023-12-24,7,19,31,15,7
2023-12-31,8,22,29,27,7
