"Time","Cucumber","Grapefruit","Citrus fruit","Sweet potato","Sugarcane"
"2020-06-28",10,3,14,11,2
"2020-07-05",8,3,13,11,1
"2020-07-12",9,3,13,11,1
"2020-07-19",9,3,13,11,1
"2020-07-26",9,3,13,12,2
"2020-08-02",8,3,12,11,1
"2020-08-09",8,2,13,11,1
"2020-08-16",7,2,12,10,1
"2020-08-23",6,2,12,10,1
"2020-08-30",7,2,12,11,1
"2020-09-06",7,3,13,11,2
"2020-09-13",6,3,12,11,1
"2020-09-20",6,2,12,11,2
"2020-09-27",6,2,13,10,2
"2020-10-04",6,3,11,10,1
"2020-10-11",6,2,11,11,2
"2020-10-18",6,2,12,11,2
"2020-10-25",6,3,12,10,2
"2020-11-01",4,2,9,9,1
"2020-11-08",5,2,12,14,1
"2020-11-15",6,3,14,27,2
"2020-11-22",5,3,20,100,2
"2020-11-29",4,3,12,12,2
"2020-12-06",5,3,14,11,2
"2020-12-13",5,3,15,12,1
"2020-12-20",5,3,17,26,2
"2020-12-27",6,3,16,10,2
"2021-01-03",5,3,14,11,2
"2021-01-10",6,3,14,12,2
"2021-01-17",6,3,15,12,2
"2021-01-24",6,3,15,12,2
"2021-01-31",6,3,15,11,2
"2021-02-07",6,3,15,10,2
"2021-02-14",6,3,15,11,2
"2021-02-21",6,4,14,11,2
"2021-02-28",6,4,14,10,2
"2021-03-07",6,3,14,9,2
"2021-03-14",7,4,13,8,2
"2021-03-21",7,3,15,9,2
"2021-03-28",7,3,15,11,2
"2021-04-04",7,3,15,11,2
"2021-04-11",7,3,15,9,2
"2021-04-18",7,3,14,9,2
"2021-04-25",8,3,13,8,2
"2021-05-02",8,3,13,7,2
"2021-05-09",8,3,12,8,1
"2021-05-16",8,3,12,8,2
"2021-05-23",8,3,13,8,2
"2021-05-30",9,3,12,8,2
"2021-06-06",8,3,10,8,2
"2021-06-13",8,2,10,7,2
"2021-06-20",8,3,11,8,2
"2021-06-27",8,3,11,8,2
