"Time","Cucumber","Grapefruit","Citrus fruit","Sweet potato","Sugarcane"
"2017-12-31",5,3,20,13,2
"2018-01-07",6,4,22,13,2
"2018-01-14",6,4,22,13,2
"2018-01-21",6,4,38,13,2
"2018-01-28",6,4,39,12,2
"2018-02-04",6,4,38,10,1
"2018-02-11",6,4,21,10,1
"2018-02-18",6,5,17,10,2
"2018-02-25",6,5,15,10,2
"2018-03-04",6,5,15,10,1
"2018-03-11",6,5,15,10,1
"2018-03-18",6,5,14,10,2
"2018-03-25",7,4,16,14,1
"2018-04-01",6,3,16,13,2
"2018-04-08",7,4,14,10,2
"2018-04-15",7,3,13,9,2
"2018-04-22",7,4,13,10,1
"2018-04-29",7,4,13,10,1
"2018-05-06",8,3,13,9,1
"2018-05-13",7,3,12,9,1
"2018-05-20",8,4,12,9,1
"2018-05-27",8,3,12,8,1
"2018-06-03",8,3,12,9,1
"2018-06-10",8,3,11,10,1
"2018-06-17",8,4,11,10,2
"2018-06-24",8,3,11,9,2
"2018-07-01",8,3,13,9,2
"2018-07-08",7,3,11,10,2
"2018-07-15",7,3,11,9,2
"2018-07-22",8,3,11,10,2
"2018-07-29",7,3,11,8,2
"2018-08-05",7,3,12,9,2
"2018-08-12",7,3,11,8,2
"2018-08-19",7,3,11,9,2
"2018-08-26",6,3,10,9,2
"2018-09-02",7,3,10,9,1
"2018-09-09",6,3,10,8,1
"2018-09-16",6,3,8,10,1
"2018-09-23",6,3,7,9,1
"2018-09-30",6,3,7,9,1
"2018-10-07",6,3,7,9,2
"2018-10-14",6,3,7,10,2
"2018-10-21",6,3,7,9,1
"2018-10-28",5,3,7,11,2
"2018-11-04",5,3,9,14,2
"2018-11-11",5,3,11,28,2
"2018-11-18",6,3,17,100,2
"2018-11-25",5,3,11,12,2
"2018-12-02",5,3,11,11,2
"2018-12-09",5,3,13,10,2
"2018-12-16",4,3,13,14,2
"2018-12-23",5,3,16,25,2
"2018-12-30",6,4,15,11,2
