"Time","Cucumber","Grapefruit","Citrus fruit","Sweet potato","Sugarcane"
"2016-06-26",8,3,10,8,2
"2016-07-03",8,3,11,8,2
"2016-07-10",7,3,9,7,2
"2016-07-17",6,3,10,9,2
"2016-07-24",7,3,10,8,2
"2016-07-31",7,3,9,8,1
"2016-08-07",6,2,9,8,2
"2016-08-14",6,2,9,9,1
"2016-08-21",6,2,9,8,1
"2016-08-28",5,2,10,8,1
"2016-09-04",6,2,10,9,1
"2016-09-11",5,3,9,9,1
"2016-09-18",5,3,11,9,1
"2016-09-25",5,3,10,9,1
"2016-10-02",4,2,8,9,1
"2016-10-09",5,3,10,9,2
"2016-10-16",5,3,10,10,1
"2016-10-23",5,3,11,10,2
"2016-10-30",5,3,11,11,1
"2016-11-06",4,3,12,12,1
"2016-11-13",5,3,15,27,1
"2016-11-20",4,4,20,100,1
"2016-11-27",5,3,14,12,1
"2016-12-04",4,4,13,10,2
"2016-12-11",4,3,15,10,1
"2016-12-18",5,4,17,21,1
"2016-12-25",5,4,17,18,1
"2017-01-01",6,4,17,11,2
"2017-01-08",6,4,16,11,2
"2017-01-15",6,4,18,10,2
"2017-01-22",5,4,18,10,2
"2017-01-29",5,4,19,10,2
"2017-02-05",5,5,18,9,2
"2017-02-12",6,4,19,10,2
"2017-02-19",6,5,20,9,2
"2017-02-26",6,6,19,9,2
"2017-03-05",6,6,19,9,2
"2017-03-12",6,5,19,9,2
"2017-03-19",7,5,20,10,2
"2017-03-26",7,5,20,10,2
"2017-04-02",7,4,19,10,2
"2017-04-09",7,4,18,14,2
"2017-04-16",7,4,17,12,2
"2017-04-23",7,4,18,10,2
"2017-04-30",7,4,15,9,2
"2017-05-07",7,4,17,9,2
"2017-05-14",7,4,16,9,2
"2017-05-21",8,4,15,9,2
"2017-05-28",8,4,14,9,2
"2017-06-04",8,4,13,10,2
"2017-06-11",8,3,14,10,2
"2017-06-18",7,4,14,10,2
"2017-06-25",7,4,14,9,2
