date,PRCP
2017-01-01,0.17104283054003724
2017-01-02,0.13416666666666666
2017-01-03,0.5108477508650519
2017-01-04,0.17802721088435372
2017-01-05,0.04753521126760563
2017-01-06,0.03632798573975044
2017-01-07,0.6669035532994924
2017-01-08,0.13808098591549298
2017-01-09,0.005928571428571428
2017-01-10,0.005159010600706714
2017-01-11,0.03234347048300537
2017-01-12,0.006534296028880867
2017-01-13,0.01596774193548387
2017-01-14,0.022932604735883422
2017-01-15,0.007743119266055046
2017-01-16,0.0030615942028985508
2017-01-17,0.004047186932849365
2017-01-18,0.0013571428571428571
2017-01-19,0.009532374100719424
2017-01-20,0.06811188811188812
2017-01-21,0.09796028880866427
2017-01-22,0.3619895287958115
2017-01-23,0.6194577352472089
2017-01-24,0.018611111111111113
2017-01-25,0.000936936936936937
2017-01-26,0.011238779174147217
2017-01-27,0.0179014598540146
2017-01-28,0.0031060606060606057
2017-01-29,0.14473021582733814
2017-01-30,0.10726618705035972
2017-01-31,0.0001601423487544484
2017-02-01,0.0004472271914132379
2017-02-02,0.00037300177619893426
2017-02-03,0.00016157989228007182
2017-02-04,0.0006170598911070781
2017-02-05,0.0009025270758122744
2017-02-06,0.0010619469026548673
2017-02-07,0.043833922261484096
2017-02-08,0.518389694041868
2017-02-09,0.017551724137931032
2017-02-10,0.00933453237410072
2017-02-11,0.00012681159420289856
2017-02-12,9.107468123861566e-05
2017-02-13,0.00017825311942959004
2017-02-14,0.0018604651162790699
2017-02-15,0.009964412811387902
2017-02-16,0.043462214411247806
2017-02-17,0.0002177858439201452
2017-02-18,0.02326530612244898
2017-02-19,0.07427304964539007
2017-02-20,0.0031521739130434784
2017-02-21,0.05256317689530686
2017-02-22,0.30474226804123716
2017-02-23,0.7437560192616373
2017-02-24,0.03850434782608696
2017-02-25,0.002902033271719039
2017-02-26,0.0007393715341959335
2017-02-27,0.002585895117540687
2017-02-28,0.06390070921985816
2017-03-01,0.022564991334488735
2017-03-02,0.06202443280977312
2017-03-03,0.06547332185886402
2017-03-04,0.005918003565062389
2017-03-05,0.0028368794326241137
2017-03-06,0.0011347517730496454
2017-03-07,0.009740932642487045
2017-03-08,0.04434412265758092
2017-03-09,0.0025581395348837207
2017-03-10,0.0012164579606440073
2017-03-11,0.0010951526032315978
2017-03-12,0.020519713261648743
2017-03-13,0.16115716753022452
2017-03-14,0.5381012658227848
2017-03-15,0.005288966725043783
2017-03-16,0.0008581436077057793
2017-03-17,0.00018998272884283247
2017-03-18,3.552397868561279e-05
2017-03-19,1.757469244288225e-05
2017-03-20,0.00024137931034482762
2017-03-21,0.0
2017-03-22,0.0001015228426395939
2017-03-23,0.028510273972602737
2017-03-24,0.1840625
2017-03-25,0.027142857142857142
2017-03-26,0.07065972222222222
2017-03-27,0.005846153846153846
2017-03-28,0.0016808149405772496
2017-03-29,0.0004948805460750854
2017-03-30,0.013825503355704698
2017-03-31,0.06667785234899329
2017-04-01,0.010383333333333335
2017-04-02,0.00991539763113367
2017-04-03,0.09119547657512117
2017-04-04,0.7462041467304625
2017-04-05,0.4650394944707741
2017-04-06,0.304359375
2017-04-07,0.10112012987012987
2017-04-08,8.375209380234506e-05
2017-04-09,3.3500837520938026e-05
2017-04-10,0.0031372549019607846
2017-04-11,0.0017607973421926912
2017-04-12,0.010983870967741937
2017-04-13,0.0852733118971061
2017-04-14,0.00727124183006536
2017-04-15,0.008297520661157026
2017-04-16,0.003810316139767055
2017-04-17,0.007374392220421393
2017-04-18,0.017536704730831975
2017-04-19,0.014630225080385851
2017-04-20,0.01252442996742671
2017-04-21,0.004861788617886179
2017-04-22,0.017348608837970538
2017-04-23,0.3146314102564103
2017-04-24,0.359609375
2017-04-25,0.006158833063209076
2017-04-26,0.00047854785478547863
2017-04-27,0.00016556291390728477
2017-04-28,0.002599337748344371
2017-04-29,0.000391156462585034
2017-04-30,0.009424703891708968
2017-05-01,0.05863492063492063
2017-05-02,0.1571060606060606
2017-05-03,0.2091499227202473
2017-05-04,0.16692058346839544
2017-05-05,0.3914242424242424
2017-05-06,0.08886178861788617
2017-05-07,0.0022240527182866556
2017-05-08,0.00011494252873563219
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0006178861788617887
2017-05-12,0.015810147299509
2017-05-13,0.122013201320132
2017-05-14,0.28023584905660376
2017-05-15,0.025161812297734627
2017-05-16,0.009199346405228757
2017-05-17,0.01733974358974359
2017-05-18,0.05661858974358974
2017-05-19,0.07566775244299674
2017-05-20,0.17985576923076924
2017-05-21,0.36617647058823527
2017-05-22,0.17197472353870458
2017-05-23,0.2315432098765432
2017-05-24,0.29122834645669293
2017-05-25,0.6634121122599704
2017-05-26,0.13666141732283466
2017-05-27,0.014273927392739274
2017-05-28,0.0050822368421052635
2017-05-29,0.029885245901639344
2017-05-30,0.019338709677419356
2017-05-31,0.1564742589703588
2017-06-01,0.12595879556259906
2017-06-02,0.3191780821917808
2017-06-03,0.6072964669738864
2017-06-04,0.36489130434782613
2017-06-05,0.29578947368421055
2017-06-06,0.794984984984985
2017-06-07,1.9866815476190476
2017-06-08,1.3204491017964073
2017-06-09,0.1985824345146379
2017-06-10,0.15555735056542813
2017-06-11,0.36328571428571427
2017-06-12,0.3663076923076923
2017-06-13,0.33343239227340266
2017-06-14,0.4430640243902439
2017-06-15,0.44875569044006075
2017-06-16,0.5044189602446483
2017-06-17,0.4466978193146417
2017-06-18,0.2750079239302694
2017-06-19,0.34891472868217055
2017-06-20,0.5214027149321266
2017-06-21,0.45080547112462005
2017-06-22,0.3944969512195122
2017-06-23,0.12810725552050473
2017-06-24,0.03268174474959613
2017-06-25,0.10049441786283891
2017-06-26,0.2552707006369427
2017-06-27,0.4342024539877301
2017-06-28,0.4934795763993948
2017-06-29,0.23928682170542637
2017-06-30,0.33382812500000003
2017-07-01,0.2520283018867924
2017-07-02,0.18298555377207062
2017-07-03,0.10332792207792207
2017-07-04,0.1396774193548387
2017-07-05,0.07215088282504013
2017-07-06,0.0764573268921095
2017-07-07,0.08723577235772358
2017-07-08,0.12057189542483661
2017-07-09,0.3168857589984351
2017-07-10,0.34010869565217394
2017-07-11,0.48971599402092675
2017-07-12,0.26858490566037735
2017-07-13,0.5301376146788991
2017-07-14,0.19564945226917058
2017-07-15,0.15027597402597404
2017-07-16,0.13115823817292008
2017-07-17,0.2854895666131621
2017-07-18,0.405268817204301
2017-07-19,0.36346504559270515
2017-07-20,0.35867283950617285
2017-07-21,0.31072755417956655
2017-07-22,0.3450319488817892
2017-07-23,0.40661341853035143
2017-07-24,0.23037209302325581
2017-07-25,0.08628705148205928
2017-07-26,0.0770429252782194
2017-07-27,0.15723704866562008
2017-07-28,0.1041390205371248
2017-07-29,0.12696485623003195
2017-07-30,0.3521350078492936
2017-07-31,0.8120710973724884
2017-08-01,0.676681749622926
2017-08-02,0.31775541795665635
2017-08-03,0.46618461538461536
2017-08-04,0.4179937791601866
2017-08-05,0.25180936995153475
2017-08-06,0.13902479338842974
2017-08-07,0.10671949286846276
2017-08-08,0.20307453416149068
2017-08-09,0.17598101265822785
2017-08-10,0.1543533123028391
2017-08-11,0.30796850393700786
2017-08-12,0.3675
2017-08-13,0.24021241830065357
2017-08-14,0.24406349206349204
2017-08-15,0.18886435331230286
2017-08-16,0.20651125401929257
2017-08-17,0.20382022471910113
2017-08-18,0.233328
2017-08-19,0.31516778523489936
2017-08-20,0.10143572621035057
2017-08-21,0.18089108910891089
2017-08-22,0.12522875816993465
2017-08-23,0.08700980392156862
2017-08-24,0.27660436137071653
2017-08-25,0.588003120124805
2017-08-26,0.6220349761526232
2017-08-27,0.6364687499999999
2017-08-28,0.5834615384615385
2017-08-29,0.5253302611367128
2017-08-30,0.41359756097560973
2017-08-31,0.17351612903225805
2017-09-01,0.31434579439252336
2017-09-02,0.466003159557662
2017-09-03,0.26370550161812295
2017-09-04,0.06863486842105264
2017-09-05,0.12170212765957447
2017-09-06,0.1360291734197731
2017-09-07,0.26106666666666667
