date,TMAX
2023-01-01,80.14598540145985
2023-01-02,80.74820143884892
2023-01-03,81.38848920863309
2023-01-04,81.44525547445255
2023-01-05,80.17142857142858
2023-01-06,74.89208633093526
2023-01-07,72.41176470588235
2023-01-08,75.21804511278195
2023-01-09,75.63703703703703
2023-01-10,73.94890510948905
2023-01-11,75.0220588235294
2023-01-12,77.33834586466165
2023-01-13,73.5223880597015
2023-01-14,62.40601503759399
2023-01-15,59.48854961832061
2023-01-16,65.80451127819549
2023-01-17,73.38686131386861
2023-01-18,77.18248175182482
2023-01-19,80.01438848920863
2023-01-20,79.71323529411765
2023-01-21,74.55147058823529
2023-01-22,78.17910447761194
2023-01-23,75.56204379562044
2023-01-24,73.4885496183206
2023-01-25,78.81954887218045
2023-01-26,74.5036496350365
2023-01-27,66.2279411764706
2023-01-28,68.94029850746269
2023-01-29,76.86466165413533
2023-01-30,82.00735294117646
2023-01-31,82.47445255474453
2023-02-01,81.97122302158273
2023-02-02,81.9225352112676
2023-02-03,79.26428571428572
2023-02-04,74.75539568345324
2023-02-05,74.96296296296296
2023-02-06,75.9136690647482
2023-02-07,77.12230215827338
2023-02-08,78.84722222222223
2023-02-09,80.59285714285714
2023-02-10,80.79856115107914
2023-02-11,78.9568345323741
2023-02-12,74.10791366906474
2023-02-13,70.8936170212766
2023-02-14,74.41958041958041
2023-02-15,78.81751824817518
2023-02-16,81.48571428571428
2023-02-17,82.29710144927536
2023-02-18,76.62222222222222
2023-02-19,77.4
2023-02-20,80.42142857142858
2023-02-21,82.23571428571428
2023-02-22,83.93478260869566
2023-02-23,85.02112676056338
2023-02-24,85.34057971014492
2023-02-25,85.0
2023-02-26,84.73913043478261
2023-02-27,83.39568345323741
2023-02-28,84.12676056338029
2023-03-01,84.70422535211267
2023-03-02,83.89928057553956
2023-03-03,85.00709219858156
2023-03-04,85.81751824817518
2023-03-05,86.41428571428571
2023-03-06,85.98601398601399
2023-03-07,86.52777777777777
2023-03-08,84.77304964539007
2023-03-09,80.96402877697842
2023-03-10,81.21739130434783
2023-03-11,81.28057553956835
2023-03-12,82.56834532374101
2023-03-13,81.82978723404256
2023-03-14,77.02797202797203
2023-03-15,71.64285714285714
2023-03-16,73.91489361702128
2023-03-17,78.80851063829788
2023-03-18,79.8623188405797
2023-03-19,73.72992700729927
2023-03-20,67.7
2023-03-21,73.20289855072464
2023-03-22,79.5072463768116
2023-03-23,82.46376811594203
2023-03-24,83.65957446808511
2023-03-25,85.82978723404256
2023-03-26,87.28260869565217
2023-03-27,87.23239436619718
2023-03-28,86.45323741007195
2023-03-29,82.23021582733813
2023-03-30,80.82835820895522
2023-03-31,82.76296296296296
2023-04-01,85.36029411764706
2023-04-02,86.57664233576642
2023-04-03,86.21985815602837
2023-04-04,86.97857142857143
2023-04-05,87.48251748251748
2023-04-06,87.53956834532374
2023-04-07,86.78260869565217
2023-04-08,84.8623188405797
2023-04-09,79.19852941176471
2023-04-10,77.44852941176471
2023-04-11,78.00709219858156
2023-04-12,77.40458015267176
2023-04-13,81.55714285714286
2023-04-14,85.86619718309859
2023-04-15,87.17518248175182
2023-04-16,87.23529411764706
2023-04-17,83.1304347826087
2023-04-18,81.04545454545455
2023-04-19,82.53333333333333
2023-04-20,83.67883211678833
2023-04-21,84.46268656716418
2023-04-22,85.53284671532846
2023-04-23,85.86666666666666
2023-04-24,82.98550724637681
2023-04-25,83.38235294117646
2023-04-26,85.5111111111111
2023-04-27,85.24264705882354
2023-04-28,86.58518518518518
2023-04-29,86.50375939849624
2023-04-30,83.81203007518798
2023-05-01,82.98561151079137
2023-05-02,84.55882352941177
2023-05-03,85.09285714285714
2023-05-04,84.92700729927007
2023-05-05,84.85
2023-05-06,84.90579710144928
2023-05-07,84.80147058823529
2023-05-08,85.08695652173913
2023-05-09,86.83823529411765
2023-05-10,89.58992805755396
2023-05-11,89.56115107913669
2023-05-12,88.71532846715328
2023-05-13,87.9037037037037
2023-05-14,88.03649635036497
2023-05-15,88.52941176470588
2023-05-16,88.55555555555556
2023-05-17,88.85185185185185
2023-05-18,89.21804511278195
2023-05-19,88.76470588235294
2023-05-20,89.21641791044776
2023-05-21,89.15328467153284
2023-05-22,88.54347826086956
2023-05-23,87.04411764705883
2023-05-24,85.38805970149254
2023-05-25,85.18439716312056
2023-05-26,83.88489208633094
2023-05-27,83.14285714285714
2023-05-28,84.86861313868613
2023-05-29,86.42537313432835
2023-05-30,87.31884057971014
2023-05-31,86.80714285714286
2023-06-01,86.3021582733813
2023-06-02,86.91428571428571
2023-06-03,86.98581560283688
2023-06-04,87.34074074074074
2023-06-05,86.87857142857143
2023-06-06,87.0
2023-06-07,87.7872340425532
2023-06-08,89.06521739130434
2023-06-09,90.07246376811594
2023-06-10,89.822695035461
2023-06-11,89.91044776119404
2023-06-12,90.8581560283688
2023-06-13,92.31159420289855
2023-06-14,92.65
2023-06-15,92.35
2023-06-16,91.49640287769785
2023-06-17,91.28467153284672
2023-06-18,89.65441176470588
2023-06-19,90.56521739130434
2023-06-20,90.60992907801419
2023-06-21,88.5774647887324
2023-06-22,88.6993006993007
2023-06-23,90.28368794326241
2023-06-24,91.3970588235294
2023-06-25,91.50375939849624
2023-06-26,91.79856115107914
2023-06-27,93.14893617021276
2023-06-28,94.06428571428572
2023-06-29,93.80575539568345
2023-06-30,93.11678832116789
2023-07-01,92.8273381294964
2023-07-02,93.13669064748201
2023-07-03,94.01438848920863
2023-07-04,94.39568345323741
2023-07-05,94.28368794326241
2023-07-06,93.95744680851064
2023-07-07,93.68571428571428
2023-07-08,92.75352112676056
2023-07-09,92.44202898550725
2023-07-10,92.53521126760563
2023-07-11,92.26428571428572
2023-07-12,92.70833333333333
2023-07-13,92.66206896551724
