date,TMIN
2024-01-01,44.55797101449275
2024-01-02,45.11888111888112
2024-01-03,44.864285714285714
2024-01-04,47.77622377622377
2024-01-05,47.95774647887324
2024-01-06,58.30714285714286
2024-01-07,54.32142857142857
2024-01-08,50.90344827586207
2024-01-09,57.719424460431654
2024-01-10,50.68493150684932
2024-01-11,48.99300699300699
2024-01-12,54.91724137931035
2024-01-13,56.03623188405797
2024-01-14,50.38405797101449
2024-01-15,52.212765957446805
2024-01-16,54.680851063829785
2024-01-17,44.39041095890411
2024-01-18,47.148936170212764
2024-01-19,53.6013986013986
2024-01-20,45.43971631205674
2024-01-21,39.03597122302158
2024-01-22,45.29577464788732
2024-01-23,57.61702127659574
2024-01-24,64.29577464788733
2024-01-25,65.69014084507042
2024-01-26,65.28057553956835
2024-01-27,64.37226277372262
2024-01-28,58.470588235294116
2024-01-29,47.794326241134755
2024-01-30,43.59722222222222
2024-01-31,45.687943262411345
2024-02-01,44.38461538461539
2024-02-02,47.92253521126761
2024-02-03,46.54347826086956
2024-02-04,52.96376811594203
2024-02-05,51.787234042553195
2024-02-06,50.57746478873239
2024-02-07,47.248275862068965
2024-02-08,49.01418439716312
2024-02-09,53.78321678321678
2024-02-10,57.91549295774648
2024-02-11,62.378571428571426
2024-02-12,63.65034965034965
2024-02-13,56.31944444444444
2024-02-14,47.020833333333336
2024-02-15,51.604166666666664
2024-02-16,55.471014492753625
2024-02-17,56.563380281690144
2024-02-18,54.302158273381295
2024-02-19,48.82394366197183
2024-02-20,43.41726618705036
2024-02-21,44.11267605633803
2024-02-22,45.13380281690141
2024-02-23,50.07913669064748
2024-02-24,52.17857142857143
2024-02-25,47.54814814814815
2024-02-26,46.645833333333336
2024-02-27,51.95804195804196
2024-02-28,57.479166666666664
2024-02-29,58.673758865248224
2024-03-01,61.50354609929078
2024-03-02,63.97080291970803
2024-03-03,64.08823529411765
2024-03-04,63.10489510489511
2024-03-05,64.69503546099291
2024-03-06,65.21985815602837
2024-03-07,62.31428571428572
2024-03-08,63.52447552447553
2024-03-09,68.46043165467626
2024-03-10,62.78417266187051
2024-03-11,53.3125
2024-03-12,52.514084507042256
2024-03-13,56.220689655172414
2024-03-14,59.765517241379314
2024-03-15,62.25
2024-03-16,64.77142857142857
2024-03-17,65.25352112676056
2024-03-18,65.08219178082192
2024-03-19,53.048611111111114
2024-03-20,48.78169014084507
2024-03-21,52.14383561643836
2024-03-22,59.8445945945946
2024-03-23,62.317241379310346
2024-03-24,58.4468085106383
2024-03-25,60.40277777777778
2024-03-26,64.32167832167832
2024-03-27,66.49285714285715
2024-03-28,63.156462585034014
2024-03-29,54.53472222222222
2024-03-30,53.96478873239437
2024-03-31,56.13669064748201
2024-04-01,59.67625899280576
2024-04-02,63.84027777777778
2024-04-03,64.85034013605443
2024-04-04,58.34265734265734
2024-04-05,53.74647887323944
2024-04-06,54.232394366197184
2024-04-07,53.570422535211264
2024-04-08,57.19580419580419
2024-04-09,61.513888888888886
2024-04-10,64.89655172413794
2024-04-11,67.1360544217687
2024-04-12,60.054054054054056
2024-04-13,54.78169014084507
2024-04-14,54.290780141843975
2024-04-15,56.58620689655172
2024-04-16,58.96527777777778
2024-04-17,62.5448275862069
2024-04-18,63.611111111111114
2024-04-19,64.99295774647888
2024-04-20,65.94366197183099
2024-04-21,65.63120567375887
2024-04-22,61.58783783783784
2024-04-23,56.40689655172414
2024-04-24,56.42567567567568
2024-04-25,58.96503496503497
2024-04-26,61.44755244755245
2024-04-27,65.32167832167832
2024-04-28,66.28368794326241
2024-04-29,64.41780821917808
2024-04-30,65.74305555555556
2024-05-01,66.27586206896552
2024-05-02,67.6056338028169
2024-05-03,67.99310344827586
2024-05-04,68.89655172413794
2024-05-05,69.67808219178082
2024-05-06,69.66666666666667
2024-05-07,70.00675675675676
2024-05-08,71.16107382550335
2024-05-09,72.64625850340136
2024-05-10,71.45270270270271
2024-05-11,70.26027397260275
